"행정구역별(읍면동)","연령별","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년",
"전국","합계","총인구(명)","","51069375","51269554","51422507","51629512","51779203","51829136","51738071","51692272","51774521",
"전국","합계","총인구_남자(명)","","25608502","25696987","25768055","25877195","25952070","25915207","25850044","25835298","25903852",
"전국","합계","총인구_여자(명)","","25460873","25572567","25654452","25752317","25827133","25913929","25888027","25856974","25870669",
"전국","합계","총인구_성비","","100.6","100.5","100.4","100.5","100.5","100","99.9","99.9","100.1",
"전국","합계","내국인(명)","","49705663","49855796","49943260","49977951","50000285","50133493","50088104","49939926","49839371",
"전국","합계","내국인_남자(명)","","24819839","24881520","24922392","24931554","24934662","24972588","24943537","24866514","24810723",
"전국","합계","내국인_여자(명)","","24885824","24974276","25020868","25046397","25065623","25160905","25144567","25073412","25028648",
"전국","합계","내국인_성비","","99.7","99.6","99.6","99.5","99.5","99.3","99.2","99.2","99.1",
"전국","0~4세","총인구(명)","","2258670","2218378","2102959","2000217","1881548","1722081","1570409","1459301","1361737",
"전국","0~4세","총인구_남자(명)","","1159011","1137155","1077714","1025394","965211","883196","805852","748056","697702",
"전국","0~4세","총인구_여자(명)","","1099659","1081223","1025245","974823","916337","838885","764557","711245","664035",
"전국","0~4세","총인구_성비","","105.4","105.2","105.1","105.2","105.3","105.3","105.4","105.2","105.1",
"전국","0~4세","내국인(명)","","2235397","2192603","2075937","1967942","1841730","1684917","1536204","1426032","1331363",
"전국","0~4세","내국인_남자(명)","","1147126","1124012","1064016","1008953","944850","864276","788406","731063","682180",
"전국","0~4세","내국인_여자(명)","","1088271","1068591","1011921","958989","896880","820641","747798","694969","649183",
"전국","0~4세","내국인_성비","","105.4","105.2","105.1","105.2","105.3","105.3","105.4","105.2","105.1",
"전국","5~9세","총인구(명)","","2267851","2304689","2303030","2279824","2276617","2264595","2212372","2095594","1980026",
"전국","5~9세","총인구_남자(명)","","1169770","1187031","1185280","1172145","1168966","1161247","1133426","1073564","1014945",
"전국","5~9세","총인구_여자(명)","","1098081","1117658","1117750","1107679","1107651","1103348","1078946","1022030","965081",
"전국","5~9세","총인구_성비","","106.5","106.2","106","105.8","105.5","105.2","105","105","105.2",
"전국","5~9세","내국인(명)","","2252950","2287123","2287878","2261032","2251185","2238916","2180368","2060530","1949720",
"전국","5~9세","내국인_남자(명)","","1162087","1177879","1177479","1162616","1156094","1148248","1117345","1055963","999638",
"전국","5~9세","내국인_여자(명)","","1090863","1109244","1110399","1098416","1095091","1090668","1063023","1004567","950082",
"전국","5~9세","내국인_성비","","106.5","106.2","106","105.8","105.6","105.3","105.1","105.1","105.2",
"전국","10~14세","총인구(명)","","2427792","2299146","2276763","2262767","2234015","2267481","2304690","2305033","2277663",
"전국","10~14세","총인구_남자(명)","","1262770","1193915","1178964","1169008","1152447","1168937","1186319","1185794","1170779",
"전국","10~14세","총인구_여자(명)","","1165022","1105231","1097799","1093759","1081568","1098544","1118371","1119239","1106884",
"전국","10~14세","총인구_성비","","108.4","108","107.4","106.9","106.6","106.4","106.1","105.9","105.8",
"전국","10~14세","내국인(명)","","2418360","2288612","2267947","2250907","2219036","2252113","2286676","2283668","2255118",
"전국","10~14세","내국인_남자(명)","","1257902","1188475","1174461","1163024","1144862","1161098","1177079","1174962","1159359",
"전국","10~14세","내국인_여자(명)","","1160458","1100137","1093486","1087883","1074174","1091015","1109597","1108706","1095759",
"전국","10~14세","내국인_성비","","108.4","108","107.4","106.9","106.6","106.4","106.1","106","105.8",
"전국","15~19세","총인구(명)","","3194079","3084039","2922140","2772966","2637341","2449561","2313299","2303446","2298339",
"전국","15~19세","총인구_남자(명)","","1668683","1606802","1523741","1445280","1371661","1271404","1198911","1190769","1186270",
"전국","15~19세","총인구_여자(명)","","1525396","1477237","1398399","1327686","1265680","1178157","1114388","1112677","1112069",
"전국","15~19세","총인구_성비","","109.4","108.8","109","108.9","108.4","107.9","107.6","107","106.7",
"전국","15~19세","내국인(명)","","3170545","3056728","2891577","2735274","2595613","2422002","2288333","2266980","2252391",
"전국","15~19세","내국인_남자(명)","","1657722","1594229","1509599","1427114","1352018","1258885","1187703","1173549","1163494",
"전국","15~19세","내국인_여자(명)","","1512823","1462499","1381978","1308160","1243595","1163117","1100630","1093431","1088897",
"전국","15~19세","내국인_성비","","109.6","109","109.2","109.1","108.7","108.2","107.9","107.3","106.9",
"전국","20~24세","총인구(명)","","3531108","3552780","3517690","3484744","3413656","3364804","3223654","3054220","2915658",
"전국","20~24세","총인구_남자(명)","","1887776","1898134","1872652","1851798","1806316","1762135","1681183","1597071","1529757",
"전국","20~24세","총인구_여자(명)","","1643332","1654646","1645038","1632946","1607340","1602669","1542471","1457149","1385901",
"전국","20~24세","총인구_성비","","114.9","114.7","113.8","113.4","112.4","110","109","109.6","110.4",
"전국","20~24세","내국인(명)","","3385936","3400634","3355986","3290233","3203741","3193316","3066118","2879013","2715480",
"전국","20~24세","내국인_남자(명)","","1808857","1816165","1786645","1744884","1690943","1670636","1602890","1509973","1423937",
"전국","20~24세","내국인_여자(명)","","1577079","1584469","1569341","1545349","1512798","1522680","1463228","1369040","1291543",
"전국","20~24세","내국인_성비","","114.7","114.6","113.8","112.9","111.8","109.7","109.5","110.3","110.3",
"전국","25~29세","총인구(명)","","3265288","3308184","3407757","3520222","3612505","3666212","3663127","3622860","3579935",
"전국","25~29세","총인구_남자(명)","","1728888","1756218","1815686","1884327","1938641","1959723","1954718","1930682","1907333",
"전국","25~29세","총인구_여자(명)","","1536400","1551966","1592071","1635895","1673864","1706489","1708409","1692178","1672602",
"전국","25~29세","총인구_성비","","112.5","113.2","114","115.2","115.8","114.8","114.4","114.1","114",
"전국","25~29세","내국인(명)","","3027896","3068970","3164039","3259284","3343423","3423231","3439492","3384426","3310331",
"전국","25~29세","내국인_남자(명)","","1581887","1607473","1665093","1721877","1771185","1813896","1822691","1787742","1741244",
"전국","25~29세","내국인_여자(명)","","1446009","1461497","1498946","1537407","1572238","1609335","1616801","1596684","1569087",
"전국","25~29세","내국인_성비","","109.4","110","111.1","112","112.7","112.7","112.7","112","111",
"전국","30~34세","총인구(명)","","3811610","3629317","3447773","3339755","3304679","3301331","3332272","3435308","3557870",
"전국","30~34세","총인구_남자(명)","","1986796","1894497","1804860","1755850","1745076","1742483","1759768","1825651","1905868",
"전국","30~34세","총인구_여자(명)","","1824814","1734820","1642913","1583905","1559603","1558848","1572504","1609657","1652002",
"전국","30~34세","총인구_성비","","108.9","109.2","109.9","110.9","111.9","111.8","111.9","113.4","115.4",
"전국","30~34세","내국인(명)","","3611034","3415599","3216057","3080835","3029678","3032832","3080905","3179338","3273995",
"전국","30~34세","내국인_남자(명)","","1854905","1756053","1657296","1592897","1573520","1579900","1609294","1668917","1725797",
"전국","30~34세","내국인_여자(명)","","1756129","1659546","1558761","1487938","1456158","1452932","1471611","1510421","1548198",
"전국","30~34세","내국인_성비","","105.6","105.8","106.3","107.1","108.1","108.7","109.4","110.5","111.5",
"전국","35~39세","총인구(명)","","3926862","4002467","4070681","4106922","3999744","3805470","3622347","3437364","3333907",
"전국","35~39세","총인구_남자(명)","","2022466","2062739","2100211","2120795","2070152","1970249","1877724","1788398","1745532",
"전국","35~39세","총인구_여자(명)","","1904396","1939728","1970470","1986127","1929592","1835221","1744623","1648966","1588375",
"전국","35~39세","총인구_성비","","106.2","106.3","106.6","106.8","107.3","107.4","107.6","108.5","109.9",
"전국","35~39세","내국인(명)","","3783589","3852007","3904372","3915428","3791256","3594213","3408007","3210198","3076302",
"전국","35~39세","내국인_남자(명)","","1927388","1963865","1992903","1999417","1939621","1841713","1748821","1650898","1587340",
"전국","35~39세","내국인_여자(명)","","1856201","1888142","1911469","1916011","1851635","1752500","1659186","1559300","1488962",
"전국","35~39세","내국인_성비","","103.8","104","104.3","104.4","104.8","105.1","105.4","105.9","106.6",
"전국","40~44세","총인구(명)","","4338827","4152420","4037048","3910064","3855403","3906665","3981710","4047796","4083172",
"전국","40~44세","총인구_남자(명)","","2218442","2124144","2060634","2001842","1974200","1997630","2038116","2075221","2097082",
"전국","40~44세","총인구_여자(명)","","2120385","2028276","1976414","1908222","1881203","1909035","1943594","1972575","1986090",
"전국","40~44세","총인구_성비","","104.6","104.7","104.3","104.9","104.9","104.6","104.9","105.2","105.6",
"전국","40~44세","내국인(명)","","4215921","4031799","3916382","3775918","3707290","3758298","3831323","3883866","3897378",
"전국","40~44세","내국인_남자(명)","","2142101","2049032","1986538","1920059","1884344","1909518","1949291","1978627","1987030",
"전국","40~44세","내국인_여자(명)","","2073820","1982767","1929844","1855859","1822946","1848780","1882032","1905239","1910348",
"전국","40~44세","내국인_성비","","103.3","103.3","102.9","103.5","103.4","103.3","103.6","103.9","104",
"전국","45~49세","총인구(명)","","4388157","4492909","4532957","4498819","4449226","4325697","4134223","4018684","3894494",
"전국","45~49세","총인구_남자(명)","","2217013","2264120","2295736","2282577","2263200","2196042","2100431","2037952","1981666",
"전국","45~49세","총인구_여자(명)","","2171144","2228789","2237221","2216242","2186026","2129655","2033792","1980732","1912828",
"전국","45~49세","총인구_성비","","102.1","101.6","102.6","103","103.5","103.1","103.3","102.9","103.6",
"전국","45~49세","내국인(명)","","4266941","4369603","4404427","4362254","4307141","4195327","4010015","3895813","3760451",
"전국","45~49세","내국인_남자(명)","","2151070","2196126","2224798","2206233","2182319","2123611","2030757","1969118","1906606",
"전국","45~49세","내국인_여자(명)","","2115871","2173477","2179629","2156021","2124822","2071716","1979258","1926695","1853845",
"전국","45~49세","내국인_성비","","101.7","101","102.1","102.3","102.7","102.5","102.6","102.2","102.8",
"전국","50~54세","총인구(명)","","4263447","4153936","4122551","4196221","4322368","4372054","4477633","4513276","4482461",
"전국","50~54세","총인구_남자(명)","","2153186","2108614","2082358","2109486","2170535","2195060","2243979","2273280","2262196",
"전국","50~54세","총인구_여자(명)","","2110261","2045322","2040193","2086735","2151833","2176994","2233654","2239996","2220265",
"전국","50~54세","총인구_성비","","102","103.1","102.1","101.1","100.9","100.8","100.5","101.5","101.9",
"전국","50~54세","내국인(명)","","4145976","4030564","4000764","4071272","4191706","4245683","4350920","4380778","4342725",
"전국","50~54세","내국인_남자(명)","","2094318","2045888","2020278","2044989","2101302","2130025","2177577","2202871","2187336",
"전국","50~54세","내국인_여자(명)","","2051658","1984676","1980486","2026283","2090404","2115658","2173343","2177907","2155389",
"전국","50~54세","내국인_성비","","102.1","103.1","102","100.9","100.5","100.7","100.2","101.1","101.5",
"전국","55~59세","총인구(명)","","3956849","4165508","4258232","4319504","4285702","4210645","4097916","4076219","4153074",
"전국","55~59세","총인구_남자(명)","","1969232","2069976","2120781","2154401","2143941","2109380","2064943","2044571","2073954",
"전국","55~59세","총인구_여자(명)","","1987617","2095532","2137451","2165103","2141761","2101265","2032973","2031648","2079120",
"전국","55~59세","총인구_성비","","99.1","98.8","99.2","99.5","100.1","100.4","101.6","100.6","99.8",
"전국","55~59세","내국인(명)","","3863095","4076050","4167356","4212132","4167929","4091920","3976114","3955115","4030747",
"전국","55~59세","내국인_남자(명)","","1922796","2025701","2076215","2101462","2084851","2051221","2004426","1984188","2012265",
"전국","55~59세","내국인_여자(명)","","1940299","2050349","2091141","2110670","2083078","2040699","1971688","1970927","2018482",
"전국","55~59세","내국인_성비","","99.1","98.8","99.3","99.6","100.1","100.5","101.7","100.7","99.7",
"전국","60~64세","총인구(명)","","2821457","3079213","3251699","3482338","3689408","3885297","4097858","4176683","4247204",
"전국","60~64세","총인구_남자(명)","","1379694","1508112","1596954","1715950","1816973","1912792","2016321","2058253","2098812",
"전국","60~64세","총인구_여자(명)","","1441763","1571101","1654745","1766388","1872435","1972505","2081537","2118430","2148392",
"전국","60~64세","총인구_성비","","95.7","96","96.5","97.1","97","97","96.9","97.2","97.7",
"전국","60~64세","내국인(명)","","2758941","3010386","3175172","3401325","3604994","3795217","4013702","4088069","4146695",
"전국","60~64세","내국인_남자(명)","","1348273","1473557","1558672","1675784","1775178","1869359","1975945","2015906","2050544",
"전국","60~64세","내국인_여자(명)","","1410668","1536829","1616500","1725541","1829816","1925858","2037757","2072163","2096151",
"전국","60~64세","내국인_성비","","95.6","95.9","96.4","97.1","97","97.1","97","97.3","97.8",
"전국","65~69세","총인구(명)","","2144023","2208535","2315195","2372155","2492232","2734187","2976607","3144288","3367282",
"전국","65~69세","총인구_남자(명)","","1028129","1058989","1113374","1139381","1199690","1314575","1433783","1519093","1632277",
"전국","65~69세","총인구_여자(명)","","1115894","1149546","1201821","1232774","1292542","1419612","1542824","1625195","1735005",
"전국","65~69세","총인구_성비","","92.1","92.1","92.6","92.4","92.8","92.6","92.9","93.5","94.1",
"전국","65~69세","내국인(명)","","2117875","2179524","2282138","2335461","2450215","2685773","2925766","3086282","3304593",
"전국","65~69세","내국인_남자(명)","","1015463","1044970","1097501","1121855","1179719","1291921","1409896","1491675","1602931",
"전국","65~69세","내국인_여자(명)","","1102412","1134554","1184637","1213606","1270496","1393852","1515870","1594607","1701662",
"전국","65~69세","내국인_성비","","92.1","92.1","92.6","92.4","92.9","92.7","93","93.5","94.2",
"전국","70~74세","총인구(명)","","1770741","1746223","1756166","1829392","1926601","2027679","2089644","2193238","2252925",
"전국","70~74세","총인구_남자(명)","","793855","790608","802127","844189","896925","946539","975415","1026934","1054423",
"전국","70~74세","총인구_여자(명)","","976886","955615","954039","985203","1029676","1081140","1114229","1166304","1198502",
"전국","70~74세","총인구_성비","","81.3","82.7","84.1","85.7","87.1","87.6","87.5","88.1","88",
"전국","70~74세","내국인(명)","","1760932","1736294","1745402","1817370","1911438","2009542","2069571","2169182","2224925",
"전국","70~74세","내국인_남자(명)","","789607","786401","797640","839242","890402","938910","966856","1016612","1042514",
"전국","70~74세","내국인_여자(명)","","971325","949893","947762","978128","1021036","1070632","1102715","1152570","1182411",
"전국","70~74세","내국인_성비","","81.3","82.8","84.2","85.8","87.2","87.7","87.7","88.2","88.2",
"전국","75~79세","총인구(명)","","1362669","1425031","1543849","1585750","1595168","1600867","1584604","1598274","1670946",
"전국","75~79세","총인구_남자(명)","","553178","585602","643508","666909","676049","684291","685723","699921","740365",
"전국","75~79세","총인구_여자(명)","","809491","839429","900341","918841","919119","916576","898881","898353","930581",
"전국","75~79세","총인구_성비","","68.3","69.8","71.5","72.6","73.6","74.7","76.3","77.9","79.6",
"전국","75~79세","내국인(명)","","1356014","1418480","1537367","1579289","1588073","1593192","1576830","1588867","1659823",
"전국","75~79세","내국인_남자(명)","","550684","583304","641422","664879","673589","681766","683137","696679","736481",
"전국","75~79세","내국인_여자(명)","","805330","835176","895945","914410","914484","911426","893693","892188","923342",
"전국","75~79세","내국인_성비","","68.4","69.8","71.6","72.7","73.7","74.8","76.4","78.1","79.8",
"전국","80~84세","총인구(명)","","814222","884261","943418","1005673","1075010","1120781","1178836","1280639","1319730",
"전국","80~84세","총인구_남자(명)","","276627","307499","335345","363891","396231","419037","447622","494021","514355",
"전국","80~84세","총인구_여자(명)","","537595","576762","608073","641782","678779","701744","731214","786618","805375",
"전국","80~84세","총인구_성비","","51.5","53.3","55.1","56.7","58.4","59.7","61.2","62.8","63.9",
"전국","80~84세","내국인(명)","","810891","880699","939787","1001715","1070623","1115804","1173715","1274965","1313292",
"전국","80~84세","내국인_남자(명)","","275462","306320","334274","362776","394900","417754","446293","492514","512561",
"전국","80~84세","내국인_여자(명)","","535429","574379","605513","638939","675723","698050","727422","782451","800731",
