"행정구역별","연령별","항목","단위","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년",
"전국","계","전체","","46991171","47335678","47732558","48021543","48229948","48386823","48583805","48782274","48991779","49268928","49540367","49773145","50515666","50734284","50948272","51141463","51327916","51529338","51696216","51778544","51826059","51849861","51829023","51638809","51439038","51325329",
"전국","계","여자","","23397137","23571215","23770470","23919080","24029756","24116680","24220722","24326040","24434775","24577679","24717470","24843206","25205281","25327350","25444212","25553127","25658620","25771152","25868622","25922625","25959930","25985045","25987994","25892125","25802087","25759593",
"전국","계","남자","","23594034","23764463","23962088","24102463","24200192","24270143","24363083","24456234","24557004","24691249","24822897","24929939","25310385","25406934","25504060","25588336","25669296","25758186","25827594","25855919","25866129","25864816","25841029","25746684","25636951","25565736",
"전국","0세","전체","","607766","588010","608060","532700","470251","469270","451219","413858","424737","470258","444421","424529","448516","451579","464374","421465","419833","424563","393674","345786","317685","295132","265087","253946","244250","225958",
"전국","0세","여자","","289106","280415","289685","254560","224081","225049","216761","199424","204794","228180","215444","205773","216995","219625","225735","205288","204556","206788","192133","167648","154735","143638","129426","123789","119390","110251",
"전국","0세","남자","","318660","307595","318375","278140","246170","244221","234458","214434","219943","242078","228977","218756","231521","231954","238639","216177","215277","217775","201541","178138","162950","151494","135661","130157","124860","115707",
"전국","1세","전체","","671158","638899","618444","637932","557596","492091","490783","471088","433122","446103","491498","464282","443963","470224","472275","486655","438778","437994","441720","409814","361625","330970","304651","274633","264788","253595",
"전국","1세","여자","","322436","304060","295212","303934","267031","234613","235672","226630","208745","215275","238671","225211","215268","227578","229798","236709","213813","213442","215207","200001","175407","161155","148129","134077","129051","123906",
"전국","1세","남자","","348722","334839","323232","333998","290565","257478","255111","244458","224377","230828","252827","239071","228695","242646","242477","249946","224965","224552","226513","209813","186218","169815","156522","140556","135737","129689",
"전국","2세","전체","","686229","672557","640444","619315","638559","558093","493125","491757","471970","433946","446884","492482","465564","445437","470956","474098","488030","439989","439207","442943","411225","362900","331606","306120","277529","266619",
"전국","2세","여자","","324400","323077","304886","295666","304281","267257","235185","236196","227073","209163","215710","239180","225894","216010","228068","230670","237508","214448","214108","215880","200800","176064","161481","148901","135546","129947",
"전국","2세","남자","","361829","349480","335558","323649","334278","290836","257940","255561","244897","224783","231174","253302","239670","229427","242888","243428","250522","225541","225099","227063","210425","186836","170125","157219","141983","136672",
"전국","3세","전체","","709382","687069","673589","640716","619744","638482","558553","493820","492427","472617","434320","447432","493452","466807","446256","472047","474932","488716","440530","439700","443586","412018","363250","332157","307975","279134",
"전국","3세","여자","","332917","324890","323560","305054","295960","304291","267494","235619","236578","227441","209384","216005","239646","226503","216409","228617","231126","237848","214777","214432","216257","201206","176294","161795","149827","136351",
"전국","3세","남자","","376465","362179","350029","335662","323784","334191","291059","258201","255849","245176","224936","231427","253806","240304","229847","243430","243806","250868","225753","225268","227329","210812","186956","170362","158148","142783",
"전국","4세","전체","","716143","710221","687471","673714","640894","620038","639050","559076","494287","492842","472935","434700","448200","494388","467432","447055","472731","475519","489140","440872","440123","444102","412429","363613","333048","309282",
"전국","4세","여자","","333258","333267","325148","323768","305160","296049","304639","267834","235847","236795","227632","209567","216355","240090","226823","216824","228975","231448","238093","214974","214665","216519","201440","176482","162222","150484",
"전국","4세","남자","","382885","376954","362323","349946","335734","323989","334411","291242","258440","256047","245303","225133","231845","254298","240609","230231","243756","244071","251047","225898","225458","227583","210989","187131","170826","158798",
"전국","5세","전체","","713230","716847","711135","688057","673758","640643","620183","639478","559423","494527","492914","473112","435281","448774","494810","467935","447531","473120","475817","489401","441105","440483","444367","412739","364198","333705",
"전국","5세","여자","","331681","333656","333801","325421","323801","305111","296163","304827","268010","236012","236839","227721","209845","216641","240288","227076","217071","229184","231602","238238","215130","214851","216644","201607","176770","162550",
"전국","5세","남자","","381549","383191","377334","362636","349957","335532","324020","334651","291413","258515","256075","245391","225436","232133","254522","240859","230460","243936","244215","251163","225975","225632","227723","211132","187428","171155",
"전국","6세","전체","","729241","714354","718080","711496","688504","673822","641385","620535","639775","559670","494660","493040","473718","435724","449057","495221","468321","447817","473401","476061","489604","441362","440710","444555","413162","364740",
"전국","6세","여자","","342231","332240","334322","334101","325687","323893","305510","296393","305011","268100","236129","236888","228020","210034","216784","240510","227276","217215","229342","231731","238379","215272","214974","216746","201826","177040",
"전국","6세","남자","","387010","382114","383758","377395","362817","349929","335875","324142","334764","291570","258531","256152","245698","225690","232273","254711","241045","230602","244059","244330","251225","226090","225736","227809","211336","187700",
"전국","7세","전체","","707547","729999","715126","718029","711597","688306","673988","641464","620666","639800","559549","494611","493551","473970","435863","449321","495536","468546","448049","473580","476168","489772","441560","440866","444843","413535",
"전국","7세","여자","","334249","342688","332691","334267","334102","325619","323979","305565","296483","305049","268050","236139","237139","228154","210100","216932","240672","227408","217355","229442","231835","238461","215399","215072","216922","202011",
"전국","7세","남자","","373298","387311","382435","383762","377495","362687","350009","335899","324183","334751","291499","258472","256412","245816","225763","232389","254864","241138","230694","244138","244333","251311","226161","225794","227921","211524",
"전국","8세","전체","","644055","707154","729723","714271","717392","710791","687792","673535","641047","620368","639584","559360","495212","493658","474009","436031","449510","495761","468712","448183","473690","476358","489936","441672","441044","445099",
"전국","8세","여자","","299036","334040","342553","332269","334032","333722","325406","323805","305367","296362","304992","267948","236431","237221","228170","210182","217035","240798","227490","217414","229523","231936","238565","215456","215170","217070",
"전국","8세","남자","","345019","373114","387170","382002","383360","377069","362386","349730","335680","324006","334592","291412","258781","256437","245839","225849","232475","254963","241222","230769","244167","244422","251371","226216","225874","228029",
"전국","9세","전체","","634314","643542","706252","728893","713730","716469","710249","687167","673118","640683","620098","639421","560067","495288","493679","474106","436172","449663","495918","468858","448251","473817","476474","490049","441805","441225",
"전국","9세","여자","","300966","298813","333624","342214","332042","333566","333481","325104","323640","305213","296224","304945","268354","236498","237213","228237","210262","217128","240899","227589","217474","229597","232006","238627","215539","215272",
"전국","9세","남자","","333348","344729","372628","386679","381688","382903","376768","362063","349478","335470","323874","334476","291713","258790","256466","245869","225910","232535","255019","241269","230777","244220","244468","251422","226266","225953",
"전국","10세","전체","","628050","633784","642945","705775","728082","712802","715970","709821","686826","672700","640447","619828","640166","560042","495216","493745","474187","436313","449851","496041","468897","448401","473919","476536","490147","441952",
"전국","10세","여자","","295976","300712","298616","333471","341806","331648","333370","333308","324980","323445","305133","296125","305321","268353","236481","237252","228287","210346","217234","240973","227657","217570","229653","232040","238682","215618",
"전국","10세","남자","","332074","333072","344329","372304","386276","381154","382600","376513","361846","349255","335314","323703","334845","291689","258735","256493","245900","225967","232617","255068","241240","230831","244266","244496","251465","226334",
"전국","11세","전체","","619493","627494","633634","642421","705289","727161","712309","715509","709394","686488","672419","640111","620740","640027","559908","495256","493804","474284","436439","449954","496074","469014","448450","473997","476573","490229",
"전국","11세","여자","","298059","295690","300567","298333","333220","341409","331436","333226","333113","324826","323328","305006","296617","305291","268304","236512","237294","228355","210419","217298","241025","227731","217609","229691","232084","238741",
"전국","11세","남자","","321434","331804","333067","344088","372069","385752","380873","382283","376281","361662","349091","335105","324123","334736","291604","258744","256510","245929","226020","232656","255049","241283","230841","244306","244489","251488",
"전국","12세","전체","","629317","619124","627095","632747","641836","704366","726975","711848","715220","709145","686232","672065","641207","620650","639852","559931","495268","493916","474372","436496","449936","496146","469087","448481","473924","476570",
"전국","12세","여자","","298643","297947","295637","300180","298059","332854","341311","331241","333096","333058","324712","323168","305523","296587","305205","268339","236549","237351","228417","210456","217329","241076","227784","217627","229670","232108",
"전국","12세","남자","","330674","321177","331458","332567","343777","371512","385664","380607","382124","376087","361520","348897","335684","324063","334647","291592","258719","256565","245955","226040","232607","255070","241303","230854","244254","244462",
"전국","13세","전체","","654521","628451","618507","626413","631991","640732","703609","726053","711250","714676","708751","685780","673228","640950","620407","639858","559938","495316","493970","474366","436420","449979","496175","469101","448369","473894",
"전국","13세","여자","","314031","298226","297512","295241","299832","297581","332438","340952","330989","332822","332883","324545","323760","305443","296496","305229","268363","236599","237397","228435","210461","217385","241118","227802","217580","229698",
"전국","13세","남자","","340490","330225","320995","331172","332159","343151","371171","385101","380261","381854","375868","361235","349468","335507","323911","334629","291575","258717","256573","245931","225959","232594","255057","241299","230789","244196",
"전국","14세","전체","","663793","653662","628297","617640","625685","631031","640225","702940","725583","710852","714275","708234","687104","672862","640593","620395","639828","559996","495347","493910","474221","436418","449958","496081","468939","448324",
"전국","14세","여자","","319934","313612","298360","297215","294922","299436","297401","332307","340744","330849","332645","332660","325217","323604","305320","296515","305247","268405","236625","237397","228437","210495","217409","241116","227755","217600",
"전국","14세","남자","","343859","340050","329937","320425","330763","331595","342824","370633","384839","380003","381630","375574","361887","349258","335273","323880","334581","291591","258722","256513","245784","225923","232549","254965","241184","230724",
"전국","15세","전체","","751522","663450","653365","627311","617015","624857","630620","639612","702376","725166","710578","713804","709686","686666","672396","640464","620320","639869","560014","495262","493626","474123","436320","449838","495811","468773",
"전국","15세","여자","","363964","319728","313454","297731","296965","294515","299205","297193","332003","340570","330742","332435","333396","325038","323386","305295","296521","305295","268452","236624","237366","228432","210497","217406","241047","227750",
"전국","15세","남자","","387558","343722","339911","329580","320050","330342","331415","342419","370373","384596","379836","381369","376290","361628","349010","335169","323799","334574","291562","258638","256260","245691","225823","232432","254764","241023",
"전국","16세","전체","","825846","750686","662752","652445","626408","615880","624067","629733","639025","701856","724687","709953","715362","709218","686179","672216","640283","620297","639783","559804","494894","493389","473931","436095","449473","495547",
"전국","16세","여자","","401309","363626","319463","313086","297385","296511","294204","298936","296926","331773","340405","330504","333303","333217","324844","323349","305252","296553","305316","268418","236591","237346","228417","210444","217288","241027",
"전국","16세","남자","","424537","387060","343289","339359","329023","319369","329863","330797","342099","370083","384282","379449","382059","376001","361335","348867","335031","323744","334467","291386","258303","256043","245514","225651","232185","254520",
"전국","17세","전체","","844529","824253","749750","661315","651533","625125","615057","623200","629092","638430","701323","723999","711438","714748","708614","685900","671839","640126","620107","639416","559205","494523","493036","473465","435582","449025",
"전국","17세","여자","","409490","400459","363272","318869","312696","296885","296226","293959","298697","296740","331607","340207","331419","333125","333005","324795","323254","305261","296546","305260","268354","236525","237302","228312","210324","217207",
"전국","17세","남자","","435039","423794","386478","342446","338837","328240","318831","329241","330395","341690","369716","383792","380019","381623","375609","361105","348585","334865","323561","334156","290851","257998","255734","245153","225258","231818",
"전국","18세","전체","","840797","843386","823609","748555","660637","650027","624508","614345","622525","628574","637985","700521","725597","710814","713978","708247","685501","671503","639836","619744","638581","558704","494044","492266","472622","435025",
"전국","18세","여자","","408471","409059","400209","362694","318606","311869","296664","296022","293717","298598","296673","331402","341179","331233","332903","332946","324771","323260","305303","296572","305199","268310","236486","237176","228149","210277",
"전국","18세","남자","","432326","434327","423400","385861","342031","338158","327844","318323","328808","329976","341312","369119","384418","379581","381075","375301","360730","348243","334533","323172","333382","290394","257558","255090","244473","224748",
"전국","19세","전체","","831341","839948","842680","822416","747541","659368","649747","623916","613755","622184","628225","637355","702347","725148","710136","713703","707936","685469","671319","639432","619299","638313","558416","493456","491756","472121",
"전국","19세","여자","","408286","408264","409005","399830","362332","318048","312059","296506","295827","293675","298540","296450","332414","341023","331003","332880","332881","324852","323320","305301","296536","305177","268288","236353","237018","228095",
