"시도별(1)",2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"시도별(1)",총계,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,보건의료,기타,총계,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,보건의료,기타,총계,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,보건의료,기타,총계,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,보건의료,기타,총계,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,보건의료,기타,총계,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,보건의료,기타,총계,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,보건의료,기타,총계,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,보건의료,기타,총계,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,보건의료,기타,총계,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,보건의료,기타
"시도별(1)",소계,소계,아동시설,노인시설,장애인시설,여성복지시설,정신요양시설,노숙인복지시설,복지관,법인/단체,소계,소계,소계,소계,아동시설,노인시설,장애인시설,여성복지시설,정신요양시설,노숙인복지시설,복지관,법인/단체,소계,소계,소계,소계,아동시설,노인시설,장애인시설,여성복지시설,정신요양시설,노숙인복지시설,복지관,법인/단체,소계,소계,소계,소계,아동시설,노인시설,장애인시설,여성복지시설,정신요양시설,노숙인복지시설,복지관,법인/단체,소계,소계,소계,소계,아동시설,노인시설,장애인시설,여성복지시설,정신요양시설,노숙인복지시설,복지관,법인/단체,소계,소계,소계,소계,아동시설,노인시설,장애인시설,여성복지시설,정신요양시설,노숙인복지시설,복지관,법인/단체,소계,소계,소계,소계,아동시설,노인시설,장애인시설,여성복지시설,정신요양시설,노숙인복지시설,복지관,법인/단체,소계,소계,소계,소계,아동시설,노인시설,장애인시설,여성복지시설,정신요양시설,노숙인복지시설,복지관,법인/단체,소계,소계,소계,소계,아동시설,노인시설,장애인시설,여성복지시설,정신요양시설,노숙인복지시설,복지관,법인/단체,소계,소계,소계,소계,아동시설,노인시설,장애인시설,여성복지시설,정신요양시설,노숙인복지시설,복지관,법인/단체,소계,소계
"계",11480,9704,2469,3034,1813,219,165,70,447,1487,677,1099,12142,10281,2640,3297,1931,226,175,71,453,1488,721,1140,12922,10947,2821,3602,2066,231,180,78,462,1507,759,1216,13265,11253,2881,3746,2204,222,177,82,473,1468,757,1255,14051,11944,3014,4073,2368,230,184,91,476,1508,777,1330,13590,11628,2934,3965,2393,221,174,88,473,1380,726,1236,14254,12180,3066,4201,2491,235,180,90,477,1440,741,1333,14716,12598,3161,4375,2598,239,179,93,475,1478,749,1369,15577,13363,3345,4752,2731,252,180,97,484,1522,768,1446,16550,14215,3503,5264,2844,254,181,102,492,1575,798,1537
"서울특별시",1588,1304,213,320,252,23,40,15,93,348,53,231,1725,1413,248,367,274,25,38,17,95,349,56,256,1854,1510,261,430,295,29,38,19,95,343,63,281,1924,1541,278,449,309,31,33,24,96,321,67,316,2025,1624,295,493,319,31,36,26,96,328,67,334,1940,1567,292,478,309,30,34,24,94,306,64,309,2007,1631,309,497,322,32,34,24,95,318,64,312,2068,1689,326,512,338,32,31,25,96,329,65,314,2164,1773,346,539,355,34,31,27,97,344,64,327,2290,1883,362,604,373,34,31,27,98,354,66,341
"부산광역시",683,522,119,141,88,14,10,5,53,92,95,66,713,536,129,146,91,14,10,4,53,89,108,69,751,568,135,156,98,16,11,4,53,95,113,70,762,572,137,158,101,15,11,3,53,94,116,74,814,615,148,174,113,16,11,3,53,97,120,79,838,638,157,186,119,16,11,3,53,93,119,81,899,686,171,204,125,16,14,3,53,100,121,92,922,707,179,213,128,17,14,4,53,99,120,95,962,742,188,230,137,17,14,4,55,97,120,100,1018,788,201,259,138,17,14,4,54,101,122,108
"대구광역시",420,375,90,115,72,9,6,1,26,56,22,23,457,390,96,117,75,11,7,1,28,55,25,42,508,438,111,139,85,11,8,1,28,55,25,45,560,489,120,170,96,11,9,3,28,52,25,46,592,519,124,185,106,11,9,3,29,52,25,48,576,505,112,190,105,12,7,3,29,47,22,49,590,516,115,193,108,12,7,3,29,49,22,52,605,527,117,199,110,12,8,3,29,49,23,55,653,590,136,226,119,13,8,3,29,56,26,37,704,631,142,248,125,13,8,3,30,62,27,46
"인천광역시",575,477,103,198,74,12,2,3,20,65,37,61,607,508,101,227,81,11,2,3,21,62,36,63,651,555,107,265,86,8,2,3,21,63,35,61,658,573,106,276,90,7,2,3,21,68,35,50,723,635,109,319,98,7,2,4,20,76,35,53,691,604,98,305,98,7,2,4,21,69,32,55,724,632,103,326,99,8,2,4,21,69,33,59,718,624,107,314,100,10,2,4,20,67,31,63,813,707,118,376,106,10,2,4,21,70,32,74,902,790,123,440,112,10,2,4,22,77,36,76
"광주광역시",842,679,292,162,100,11,10,1,20,83,54,109,864,702,294,162,113,11,10,1,20,91,54,108,889,728,309,159,121,10,10,2,20,97,50,111,896,750,312,168,131,11,9,2,20,97,47,99,944,795,323,183,148,11,9,2,20,99,48,101,906,768,321,170,149,11,10,2,20,85,45,93,948,809,335,187,155,11,10,2,20,89,45,94,961,824,339,192,156,11,11,3,20,92,45,92,1013,868,360,210,158,11,11,3,20,95,45,100,1069,918,372,240,163,12,11,3,20,97,45,106
"대전광역시",676,556,163,130,112,18,11,4,24,94,36,84,679,553,161,131,115,17,12,4,24,89,37,89,677,548,156,132,116,17,12,4,24,87,38,91,688,565,153,141,131,17,12,3,24,84,38,85,725,602,156,161,141,17,12,3,24,88,38,85,693,582,152,156,140,17,12,3,24,78,36,75,724,609,155,170,148,17,12,5,24,78,37,78,741,625,158,180,151,17,12,5,24,78,39,77,766,644,158,192,157,17,12,5,24,79,40,82,799,677,165,211,161,17,12,5,24,82,41,81
