"시점","운영기관별","항목",휠체어 리프트,장애인 경사로,고정식(고무발판),자동식,장애인 화장실
"2023","서울교통공사","역수 (개)",54,250,134,6,268
"2023","서울교통공사","수량 (개)",110,499,3739,29,300
"2023","1호선","역수 (개)",3,10,9,-,10
"2023","1호선","수량 (개)",7,29,285,-,15
"2023","2호선","역수 (개)",6,49,28,1,50
"2023","2호선","수량 (개)",12,122,804,5,57
"2023","3호선","역수 (개)",2,29,30,3,31
"2023","3호선","수량 (개)",2,44,1081,14,36
"2023","4호선","역수 (개)",3,24,15,2,26
"2023","4호선","수량 (개)",5,41,610,10,30
"2023","5호선","역수 (개)",10,48,22,-,55
"2023","5호선","수량 (개)",14,84,526,-,58
"2023","6호선","역수 (개)",13,37,4,-,38
"2023","6호선","수량 (개)",24,67,30,-,43
"2023","7호선","역수 (개)",14,39,13,-,41
"2023","7호선","수량 (개)",40,89,183,-,44
"2023","8호선","역수 (개)",3,14,13,-,17
"2023","8호선","수량 (개)",6,23,220,-,17
"2023","9호선(1단계)","역수 (개)",2,25,9,-,25
"2023","9호선(1단계)","수량 (개)",2,48,117,-,34
"2023","9호선(2,3단계)","역수 (개)",-,7,7,1,12
"2023","9호선(2,3단계)","수량 (개)",-,9,89,12,15
"2023","부산교통공사","역수 (개)",3,114,114,1,114
"2023","부산교통공사","수량 (개)",6,375,409,3,234
"2023","1호선","역수 (개)",-,40,40,1,40
"2023","1호선","수량 (개)",-,149,225,3,78
"2023","2호선","역수 (개)",3,43,43,-,43
"2023","2호선","수량 (개)",6,165,120,-,94
"2023","3호선","역수 (개)",-,17,17,-,17
"2023","3호선","수량 (개)",-,31,64,-,34
"2023","4호선","역수 (개)",-,14,14,-,14
"2023","4호선","수량 (개)",-,30,-,-,28
"2023","대구교통공사","역수 (개)",1,91,57,3,91
"2023","대구교통공사","수량 (개)",3,114,855,33,196
"2023","1호선","역수 (개)",1,32,15,2,32
"2023","1호선","수량 (개)",3,38,327,29,70
"2023","2호선","역수 (개)",-,29,12,1,29
"2023","2호선","수량 (개)",-,44,168,4,66
"2023","3호선","역수 (개)",-,30,30,-,30
"2023","3호선","수량 (개)",-,32,360,-,60
"2023","인천교통공사","역수 (개)",2,68,68,-,68
"2023","인천교통공사","수량 (개)",3,112,1072,-,163
"2023","1호선","역수 (개)",2,30,30,-,30
"2023","1호선","수량 (개)",3,37,548,-,73
"2023","2호선","역수 (개)",-,27,27,-,27
"2023","2호선","수량 (개)",-,52,324,-,62
"2023","7호선","역수 (개)",-,11,11,-,11
"2023","7호선","수량 (개)",-,23,200,-,28
"2023","1호선","역수 (개)",1,20,1,-,20
"2023","1호선","수량 (개)",1,33,16,-,46
"2023","1호선","역수 (개)",1,22,4,-,22
"2023","1호선","수량 (개)",2,37,138,-,48
"2023","부산-김해","역수 (개)",-,-,21,-,21
"2023","부산-김해","수량 (개)",-,-,168,-,42
"2023","의정부","역수 (개)",-,15,-,-,15
"2023","의정부","수량 (개)",-,24,-,-,30
"2023","에버라인","역수 (개)",-,4,5,-,15
"2023","에버라인","수량 (개)",-,4,14,-,30
"2023","우이신설선","역수 (개)",-,-,-,-,11
"2023","우이신설선","수량 (개)",-,-,-,-,11
"2023","김포","역수 (개)",-,10,-,-,10
"2023","김포","수량 (개)",-,21,-,-,10
"2023","신림선","역수 (개)",-,4,-,-,7
"2023","신림선","수량 (개)",-,11,-,-,7
