행정구역별,연령별,1998 년,1999 년,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년,2023 년
전국,계,46991171,47335678,47732558,48021543,48229948,48386823,48583805,48782274,48991779,49268928,49540367,49773145,50515666,50734284,50948272,51141463,51327916,51529338,51696216,51778544,51826059,51849861,51829023,51638809,51439038,51325329
전국,0세,607766,588010,608060,532700,470251,469270,451219,413858,424737,470258,444421,424529,448516,451579,464374,421465,419833,424563,393674,345786,317685,295132,265087,253946,244250,225958
전국,1세,671158,638899,618444,637932,557596,492091,490783,471088,433122,446103,491498,464282,443963,470224,472275,486655,438778,437994,441720,409814,361625,330970,304651,274633,264788,253595
전국,2세,686229,672557,640444,619315,638559,558093,493125,491757,471970,433946,446884,492482,465564,445437,470956,474098,488030,439989,439207,442943,411225,362900,331606,306120,277529,266619
전국,3세,709382,687069,673589,640716,619744,638482,558553,493820,492427,472617,434320,447432,493452,466807,446256,472047,474932,488716,440530,439700,443586,412018,363250,332157,307975,279134
전국,4세,716143,710221,687471,673714,640894,620038,639050,559076,494287,492842,472935,434700,448200,494388,467432,447055,472731,475519,489140,440872,440123,444102,412429,363613,333048,309282
전국,5세,713230,716847,711135,688057,673758,640643,620183,639478,559423,494527,492914,473112,435281,448774,494810,467935,447531,473120,475817,489401,441105,440483,444367,412739,364198,333705
전국,6세,729241,714354,718080,711496,688504,673822,641385,620535,639775,559670,494660,493040,473718,435724,449057,495221,468321,447817,473401,476061,489604,441362,440710,444555,413162,364740
전국,7세,707547,729999,715126,718029,711597,688306,673988,641464,620666,639800,559549,494611,493551,473970,435863,449321,495536,468546,448049,473580,476168,489772,441560,440866,444843,413535
전국,8세,644055,707154,729723,714271,717392,710791,687792,673535,641047,620368,639584,559360,495212,493658,474009,436031,449510,495761,468712,448183,473690,476358,489936,441672,441044,445099
전국,9세,634314,643542,706252,728893,713730,716469,710249,687167,673118,640683,620098,639421,560067,495288,493679,474106,436172,449663,495918,468858,448251,473817,476474,490049,441805,441225
전국,10세,628050,633784,642945,705775,728082,712802,715970,709821,686826,672700,640447,619828,640166,560042,495216,493745,474187,436313,449851,496041,468897,448401,473919,476536,490147,441952
전국,11세,619493,627494,633634,642421,705289,727161,712309,715509,709394,686488,672419,640111,620740,640027,559908,495256,493804,474284,436439,449954,496074,469014,448450,473997,476573,490229
전국,12세,629317,619124,627095,632747,641836,704366,726975,711848,715220,709145,686232,672065,641207,620650,639852,559931,495268,493916,474372,436496,449936,496146,469087,448481,473924,476570
전국,13세,654521,628451,618507,626413,631991,640732,703609,726053,711250,714676,708751,685780,673228,640950,620407,639858,559938,495316,493970,474366,436420,449979,496175,469101,448369,473894
전국,14세,663793,653662,628297,617640,625685,631031,640225,702940,725583,710852,714275,708234,687104,672862,640593,620395,639828,559996,495347,493910,474221,436418,449958,496081,468939,448324
전국,15세,751522,663450,653365,627311,617015,624857,630620,639612,702376,725166,710578,713804,709686,686666,672396,640464,620320,639869,560014,495262,493626,474123,436320,449838,495811,468773
전국,16세,825846,750686,662752,652445,626408,615880,624067,629733,639025,701856,724687,709953,715362,709218,686179,672216,640283,620297,639783,559804,494894,493389,473931,436095,449473,495547
전국,17세,844529,824253,749750,661315,651533,625125,615057,623200,629092,638430,701323,723999,711438,714748,708614,685900,671839,640126,620107,639416,559205,494523,493036,473465,435582,449025
전국,18세,840797,843386,823609,748555,660637,650027,624508,614345,622525,628574,637985,700521,725597,710814,713978,708247,685501,671503,639836,619744,638581,558704,494044,492266,472622,435025
전국,19세,831341,839948,842680,822416,747541,659368,649747,623916,613755,622184,628225,637355,702347,725148,710136,713703,707936,685469,671319,639432,619299,638313,558416,493456,491756,472121
전국,20세,725566,830459,839672,841603,821620,746531,658808,649129,623355,613322,621920,627736,639373,702062,724591,709873,713451,707868,685246,670955,639161,619035,638108,557948,492919,491415
전국,21세,784505,724708,829600,838177,840384,819708,745721,658223,648688,623069,613160,621682,630124,639208,701604,724415,709683,713497,707800,685001,670613,638851,618752,637555,557252,492547
전국,22세,768113,783733,724712,828823,837211,838881,819340,745253,658107,648450,622919,613089,624322,630058,638824,701573,724403,709734,713499,707489,684673,670285,638595,618217,636829,556848
전국,23세,797107,767301,783044,723175,827596,835274,838085,818882,745038,657674,648375,623087,615893,624560,629880,639047,701661,724581,709775,713246,707318,684354,670075,638093,617553,636473
전국,24세,867536,796364,766729,781797,721923,825421,834629,837831,818758,744695,657761,648432,626189,616427,624641,630294,639299,701903,724741,709736,713137,707120,684146,669509,637288,617157
전국,25세,904075,866728,795801,765445,780381,719824,824911,834456,837574,818725,744785,657945,651938,626728,616444,625006,630475,639594,702099,724578,709738,712882,706819,683379,668523,636857
전국,26세,906210,903299,866006,794330,764207,778331,719608,825021,834360,837509,819048,744950,661688,652349,626913,616877,625298,630813,640053,702166,724841,709730,712801,706235,682511,668222
전국,27세,956234,904753,902392,864490,792623,761662,777536,719555,824795,834183,837748,819093,749460,662028,652491,627363,617178,625667,631162,640303,702366,724896,709626,712085,705293,682210
전국,28세,932204,954889,904179,900579,862386,789867,760746,777577,719427,824889,834516,837687,824418,749595,662132,652794,627641,617519,626102,631234,640669,702371,724866,708889,711089,704975
전국,29세,938854,930672,953961,902416,898540,859134,788980,760617,777270,719509,825406,834561,843551,824401,749428,662287,652955,627872,617951,626259,631457,640832,702365,724013,707924,710782
전국,30세,942417,936836,929378,952261,900105,894964,857966,788809,760553,777421,720003,825299,840914,843356,824093,749526,662331,653196,628249,618127,626456,631550,640897,701535,722983,707687
전국,31세,878090,940276,936194,927425,949681,896689,893298,857425,788551,760455,777811,720171,831723,840585,842882,823955,749426,662511,653447,628300,618363,626485,631573,640224,700514,722762
전국,32세,832616,875956,939287,933898,924788,945758,894311,892652,856957,788523,760917,777609,726126,831265,839992,842670,823867,749469,662753,653497,628466,618427,626557,630872,639276,700189
전국,33세,869531,830252,874828,937088,931378,920790,943275,893694,892143,856758,788941,760861,784231,725701,830608,839693,842467,823872,749557,662636,653494,628407,618482,625794,629734,639083
전국,34세,853041,867010,829525,873032,934568,926917,918299,942170,893063,891889,857095,788690,767732,783547,725023,830278,839360,842339,823862,749385,662582,653361,628489,617636,624750,629531
전국,35세,812686,850864,866031,827560,870633,930323,924418,917194,940969,892953,892272,856801,796394,767010,782721,724684,829954,839281,842279,823495,749232,662430,653259,627431,616573,624565
전국,36세,905356,810170,849736,864288,824978,866605,927733,923471,916201,940872,893279,891987,865704,795534,766119,782219,724311,829802,839113,841840,823253,748919,662309,651979,626297,616305
전국,37세,944452,902735,809038,847837,861726,821302,864067,926391,922512,915840,941372,893080,901876,864737,794544,765654,781739,724134,829685,838693,841390,822868,748699,660870,650702,625939
전국,38세,954534,941474,901268,806999,845289,857597,818595,862797,925095,922063,916295,940983,903533,900728,863524,793938,765094,781486,724012,829177,838252,840885,822494,746777,659616,650357
