연도,시도,노인주거복지시설_양로시설_시설수,노인주거복지시설_양로시설_정원,노인주거복지시설_양로시설_현원,노인주거복지시설_노인공동생활가정_시설수,노인주거복지시설_노인공동생활가정_정원,노인주거복지시설_노인공동생활가정_현원,노인의료복지시설_노인요양시설_시설수,노인의료복지시설_노인요양시설_정원,노인의료복지시설_노인요양시설_현원,노인의료복지시설_노인요양공동생활가정_시설수,노인의료복지시설_노인요양공동생활가정_정원,노인의료복지시설_노인요양공동생활가정_현원
2018,서울Seoul,12,1286,965,3,27,12,202,11909,11622,310,2960,2616
2018,부산Busan,6,328,282,0,0,0,90,5801,4772,19,238,218
2018,대구Daegu,6,473,264,0,0,0,102,6408,5772,142,1262,1217
2018,인천Incheon,16,585,355,5,45,25,256,11822,10677,112,996,915
2018,광주Gwangju,3,176,127,0,0,0,78,3339,2659,18,152,140
2018,대전Daejeon,3,247,100,5,35,26,86,5203,4344,37,324,292
2018,울산Ulsan,2,114,54,0,0,0,33,1613,1409,14,122,116
2018,세종Sejong,3,96,61,0,0,0,10,515,389,1,9,9
2018,경기Gyeonggi,77,4039,2736,32,262,162,1092,47266,44036,589,4879,4712
2018,강원Gangwon,10,398,280,20,174,129,191,8758,7648,120,1069,919
2018,충북Chungbuk,21,615,466,16,138,99,180,7978,7021,103,920,809
2018,충남Chungnam,8,357,197,12,107,63,193,8809,7518,103,907,789
2018,전북Jeonbuk,10,516,429,6,54,24,161,7227,6247,63,542,492
2018,전남Jeonnam,16,750,549,10,88,45,212,8267,7106,87,772,700
2018,경북Gyeongbuk,29,1253,811,5,45,24,263,12315,10147,123,1090,955
2018,경남Gyeongnam,14,1187,669,3,23,17,185,9806,8249,47,401,346
2018,제주Jeju,2,90,77,0,0,0,56,3558,3158,9,81,78
2019,서울Seoul,12,1254,960,3,27,13,205,12493,12053,304,2683,2566
2019,부산Busan,6,328,275,0,0,0,92,6163,5110,22,193,132
2019,대구Daegu,6,473,276,0,0,0,112,6696,6138,140,1225,1175
2019,인천Incheon,14,450,277,6,45,31,291,12812,11615,104,926,856
2019,광주Gwangju,3,168,118,0,0,0,78,3384,2783,17,143,130
2019,대전Daejeon,3,247,111,4,28,20,88,5652,4838,40,348,310
2019,울산Ulsan,2,114,56,0,0,0,36,1947,1422,13,116,94
2019,세종Sejong,3,64,36,0,0,0,11,547,454,2,18,14
2019,경기Gyeonggi,74,4568,2583,30,243,166,1191,54244,48284,633,5347,4771
2019,강원Gangwon,8,336,240,20,169,100,198,9248,7889,115,1025,919
2019,충북Chungbuk,13,474,346,18,154,113,188,8347,7650,108,955,842
2019,충남Chungnam,8,316,178,11,90,59,208,9588,8121,101,890,768
2019,전북Jeonbuk,20,1032,852,8,72,42,163,7418,6458,65,554,489
2019,전남Jeonnam,17,747,549,7,55,28,220,8729,7594,91,813,711
2019,경북Gyeongbuk,28,1253,790,5,45,25,269,12966,10541,121,1061,939
2019,경남Gyeongnam,13,1122,614,3,26,13,189,10205,8803,49,427,358
2019,제주Jeju,2,90,79,0,0,0,56,3576,3214,9,81,79
2020,서울Seoul,11,1245,918,4,36,17,212,12873,11571,296,2594,2391
2020,부산Busan,6,343,262,0,0,0,94,6271,5044,18,162,147
2020,대구Daegu,6,478,267,0,0,0,121,7107,6264,135,1208,1095
2020,인천Incheon,13,479,281,7,53,30,323,14756,11965,106,980,842
2020,광주Gwangju,3,167,102,0,0,0,78,3406,2797,15,123,106
2020,대전Daejeon,3,247,99,4,25,21,92,5887,4939,43,379,329
2020,울산Ulsan,2,114,59,0,0,0,36,2066,1671,14,125,111
2020,세종Sejong,3,64,34,0,0,0,11,543,420,4,36,21
2020,경기Gyeonggi,70,3791,2444,33,330,210,1315,60152,50272,611,5497,4807
2020,강원Gangwon,8,336,218,17,151,106,213,9810,8137,112,1019,928
2020,충북Chungbuk,11,436,322,15,130,100,204,9146,7682,101,904,795
2020,충남Chungnam,6,232,158,10,83,61,212,10012,8385,100,893,787
2020,전북Jeonbuk,10,516,424,4,36,17,173,7825,6473,64,551,467
2020,전남Jeonnam,16,747,540,7,55,23,221,8631,7467,83,736,633
2020,경북Gyeongbuk,26,1173,762,3,27,15,286,13538,10808,124,1093,987
2020,경남Gyeongnam,13,1161,602,3,27,14,195,10474,8927,47,414,364
2020,제주Jeju,2,90,82,0,0,0,58,3792,3292,8,72,73
2021,서울Seoul,11,1245,902,4,36,16,220,13212,11667,279,2468,2272
2021,부산Busan,5,312,238,1,9,9,96,6405,4988,20,180,143
2021,대구Daegu,6,478,266,0,0,0,132,7799,6504,127,1132,1003
2021,인천Incheon,14,507,219,6,54,30,360,15843,12926,104,891,828
2021,광주Gwangju,2,152,85,1,9,7,81,3595,2755,14,118,99
2021,대전Daejeon,3,247,97,4,25,21,98,6256,4948,44,388,319
2021,울산Ulsan,2,114,53,0,0,0,35,1985,1735,14,125,111
2021,세종Sejong,2,13,13,0,0,0,12,612,480,3,27,25
2021,경기Gyeonggi,60,2699,1575,34,287,161,1396,66742,53512,552,4835,4290
2021,강원Gangwon,8,336,211,15,133,84,218,10023,8281,108,986,893
2021,충북Chungbuk,9,424,315,15,130,105,213,9796,8227,93,830,710
