"시도별",2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"시도별",합계,합계,합계,지체,지체,지체,시각,시각,시각,청각,청각,청각,언어,언어,언어,지적,지적,지적,뇌병변,뇌병변,뇌병변,자폐성,자폐성,자폐성,정신,정신,정신,신장,신장,신장,심장,심장,심장,호흡기,호흡기,호흡기,간,간,간,안면,안면,안면,장루ㆍ요루,장루ㆍ요루,장루ㆍ요루,뇌전증,뇌전증,뇌전증,합계,합계,합계,지체,지체,지체,시각,시각,시각,청각,청각,청각,언어,언어,언어,지적,지적,지적,뇌병변,뇌병변,뇌병변,자폐성,자폐성,자폐성,정신,정신,정신,신장,신장,신장,심장,심장,심장,호흡기,호흡기,호흡기,간,간,간,안면,안면,안면,장루ㆍ요루,장루ㆍ요루,장루ㆍ요루,뇌전증,뇌전증,뇌전증,합계,합계,합계,지체,지체,지체,시각,시각,시각,청각,청각,청각,언어,언어,언어,지적,지적,지적,뇌병변,뇌병변,뇌병변,자폐성,자폐성,자폐성,정신,정신,정신,신장,신장,신장,심장,심장,심장,호흡기,호흡기,호흡기,간,간,간,안면,안면,안면,장루ㆍ요루,장루ㆍ요루,장루ㆍ요루,뇌전증,뇌전증,뇌전증,합계,합계,합계,지체,지체,지체,시각,시각,시각,청각,청각,청각,언어,언어,언어,지적,지적,지적,뇌병변,뇌병변,뇌병변,자폐성,자폐성,자폐성,정신,정신,정신,신장,신장,신장,심장,심장,심장,호흡기,호흡기,호흡기,간,간,간,안면,안면,안면,장루ㆍ요루,장루ㆍ요루,장루ㆍ요루,뇌전증,뇌전증,뇌전증,합계,합계,합계,지체,지체,지체,시각,시각,시각,청각,청각,청각,언어,언어,언어,지적,지적,지적,뇌병변,뇌병변,뇌병변,자폐성,자폐성,자폐성,정신,정신,정신,신장,신장,신장,심장,심장,심장,호흡기,호흡기,호흡기,간,간,간,안면,안면,안면,장루ㆍ요루,장루ㆍ요루,장루ㆍ요루,뇌전증,뇌전증,뇌전증,합계,합계,합계,지체,지체,지체,시각,시각,시각,청각,청각,청각,언어,언어,언어,지적,지적,지적,뇌병변,뇌병변,뇌병변,자폐성,자폐성,자폐성,정신,정신,정신,신장,신장,신장,심장,심장,심장,호흡기,호흡기,호흡기,간,간,간,안면,안면,안면,장루ㆍ요루,장루ㆍ요루,장루ㆍ요루,뇌전증,뇌전증,뇌전증,합계,합계,합계,지체,지체,지체,시각,시각,시각,청각,청각,청각,언어,언어,언어,지적,지적,지적,뇌병변,뇌병변,뇌병변,자폐성,자폐성,자폐성,정신,정신,정신,신장,신장,신장,심장,심장,심장,호흡기,호흡기,호흡기,간,간,간,안면,안면,안면,장루ㆍ요루,장루ㆍ요루,장루ㆍ요루,뇌전증,뇌전증,뇌전증,합계,합계,합계,지체,지체,지체,시각,시각,시각,청각,청각,청각,언어,언어,언어,지적,지적,지적,뇌병변,뇌병변,뇌병변,자폐성,자폐성,자폐성,정신,정신,정신,신장,신장,신장,심장,심장,심장,호흡기,호흡기,호흡기,간,간,간,안면,안면,안면,장루ㆍ요루,장루ㆍ요루,장루ㆍ요루,뇌전증,뇌전증,뇌전증,합계,합계,합계,지체,지체,지체,시각,시각,시각,청각,청각,청각,언어,언어,언어,지적,지적,지적,뇌병변,뇌병변,뇌병변,자폐성,자폐성,자폐성,정신,정신,정신,신장,신장,신장,심장,심장,심장,호흡기,호흡기,호흡기,간,간,간,안면,안면,안면,장루ㆍ요루,장루ㆍ요루,장루ㆍ요루,뇌전증,뇌전증,뇌전증,합계,합계,합계,지체,지체,지체,시각,시각,시각,청각,청각,청각,언어,언어,언어,지적,지적,지적,뇌병변,뇌병변,뇌병변,자폐성,자폐성,자폐성,정신,정신,정신,신장,신장,신장,심장,심장,심장,호흡기,호흡기,호흡기,간,간,간,안면,안면,안면,장루ㆍ요루,장루ㆍ요루,장루ㆍ요루,뇌전증,뇌전증,뇌전증
"시도별",계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
"전국",2494460,1448878,1045582,1295608,749259,546349,252825,150843,101982,252779,138356,114423,18275,13095,5180,184355,111183,73172,251543,143931,107612,19524,16629,2895,96963,50594,46369,70434,40650,29784,6401,4000,2401,12445,9392,3053,9668,7000,2668,2689,1557,1132,13867,8513,5354,7084,3876,3208,2490406,1446943,1043463,1281497,741089,540408,252874,150883,101991,250334,136850,113484,18813,13483,5330,189752,114419,75333,250862,143637,107225,21103,17964,3139,98643,51309,47334,74468,43132,31336,5833,3646,2187,12033,8990,3043,10324,7445,2879,2685,1555,1130,14116,8683,5433,7069,3858,3211,2511051,1457588,1053463,1267174,732667,534507,252794,150752,102042,271843,147749,124094,19409,13900,5509,195283,117725,77558,250456,143359,107097,22853,19419,3434,100069,51838,48231,78750,45769,32981,5507,3450,2057,11831,8822,3009,11042,7938,3104,2680,1549,1131,14404,8876,5528,6956,3775,3181,2545637,1475550,1070087,1254130,725384,528746,252632,150364,102268,302003,162319,139684,20321,14590,5731,200903,121167,79736,252819,144706,108113,24698,20972,3726,101175,52144,49031,83562,48768,34794,5399,3405,1994,11807,8819,2988,11843,8494,3349,2692,1557,1135,14718,9098,5620,6935,3763,3172,2585876,1496298,1089578,1238532,716788,521744,252957,150315,102642,342582,182240,160342,20744,14909,5835,206917,124746,82171,253083,145005,108078,26703,22629,4074,102140,52421,49719,87892,51520,36372,5304,3369,1935,11761,8762,2999,12524,8925,3599,2689,1561,1128,15027,9291,5736,7021,3817,3204,2618918,1513206,1105712,1223135,708246,514889,253055,150261,102794,377094,199074,178020,21485,15363,6122,212936,128332,84604,252188,144617,107571,28678,24234,4444,102980,52658,50322,92408,54343,38065,5266,3368,1898,11522,8542,2980,13154,9309,3845,2673,1559,1114,15290,9445,5845,7054,3855,3199,2633026,1521260,1111766,1207368,699726,507642,252324,149737,102587,395789,208604,187185,22391,15949,6442,217108,130767,86341,250407,143703,106704,30802,25946,4856,103525,52738,50787,97530,57584,39946,5233,3377,1856,11544,8527,3017,13808,9720,4088,2677,1550,1127,15427,9475,5952,7093,3857,3236,2644700,1528280,1116420,1191462,691136,500326,251620,149321,102299,411749,216505,195244,23064,16374,6690,221557,133375,88182,248308,142600,105708,33650,28218,5432,104214,52958,51256,102135,60527,41608,5166,3340,1826,11541,8503,3038,14433,10119,4314,2712,1582,1130,16012,9856,6156,7077,3866,3211,2648424,1532230,1116194,1174794,682430,492364,250391,148691,101700,424146,222924,201222,23317,16556,6761,225607,135891,89716,244674,140785,103889,37602,31323,6279,104329,52861,51468,105559,62784,42775,5070,3276,1794,11396,8392,3004,15032,10485,4547,2724,1595,1129,16714,10393,6321,7069,3844,3225,2641896,1529806,1112090,1153501,671330,482171,248360,147334,101026,432854,227155,205699,22830,16105,6725,229780,138384,91396,240546,138462,102084,42744,35350,7394,104197,52499,51698,108623,64950,43673,4933,3186,1747,11029,8106,2923,15634,10846,4788,2757,1617,1140,17117,10694,6423,6991,3788,3203
"서울특별시",398908,232124,166784,199943,113157,86786,42731,26040,16691,40518,22760,17758,2928,2115,813,24342,14985,9357,43594,25853,17741,4466,3830,636,15728,8297,7431,14340,8308,6032,1491,952,539,2211,1629,582,2099,1499,600,431,238,193,2783,1731,1052,1303,730,573,393245,228739,164506,194843,110203,84640,42533,25902,16631,39598,22174,17424,3014,2177,837,24686,15172,9514,42826,25438,17388,4761,4083,678,15943,8338,7605,14851,8606,6245,1345,846,499,2156,1575,581,2192,1563,629,422,230,192,2789,1735,1054,1286,697,589,391027,227271,163756,189777,107226,82551,42203,25709,16494,41887,23273,18614,3097,2228,869,25215,15480,9735,42212,25096,17116,5043,4316,727,16139,8397,7742,15424,8974,6450,1205,766,439,2157,1595,562,2236,1580,656,408,224,184,2760,1724,1036,1264,683,581,391753,227359,164394,185424,104591,80833,41995,25464,16531,45244,25034,20210,3252,2349,903,25654,15762,9892,42287,25068,17219,5401,4624,777,16326,8453,7873,16131,9408,6723,1154,740,414,2130,1585,545,2323,1632,691,398,218,180,2794,1752,1042,1240,679,561,392920,227910,165010,180610,101809,78801,41900,25320,16580,50306,27769,22537,3233,2346,887,26231,16119,10112,41801,24816,16985,5798,4931,867,16365,8452,7913,16625,9761,6864,1076,690,386,2130,1571,559,2417,1685,732,387,215,172,2799,1747,1052,1242,679,563,394843,228821,166022,176767,99610,77157,41832,25199,16633,54940,30291,24649,3327,2399,928,26778,16420,10358,41304,24531,16773,6100,5174,926,16435,8443,7992,17166,10075,7091,1068,692,376,2127,1564,563,2515,1740,775,385,212,173,2855,1784,1071,1244,687,557,394190,228386,165804,172606,97303,75303,41624,25004,16620,57430,31621,25809,3414,2442,972,27084,16596,10488,40905,24244,16661,6415,5431,984,16525,8438,8087,17895,10583,7312,1040,682,358,2125,1562,563,2597,1794,803,378,205,173,2901,1796,1105,1251,685,566,392123,227302,164821,167986,94721,73265,41220,24740,16480,59714,32918,26796,3416,2434,982,27330,16724,10606,40299,23842,16457,6855,5788,1067,16600,8470,8130,18301,10871,7430,1008,654,354,2143,1578,565,2663,1835,828,381,210,171,2959,1830,1129,1248,687,561,390997,226569,164428,164206,92511,71695,40918,24581,16337,61780,34016,27764,3416,2432,984,27626,16850,10776,39680,23400,16280,7491,6306,1185,16530,8406,8124,18819,11212,7607,992,635,357,2147,1579,568,2707,1852,855,385,211,174,3068,1902,1166,1232,676,556,389795,225845,163950,160403,90378,70025,40706,24368,16338,63858,35038,28820,3308,2344,964,28025,17095,10930,38940,22969,15971,8305,6957,1348,16551,8373,8178,19121,11463,7658,942,609,333,2112,1545,567,2790,1899,891,393,219,174,3122,1933,1189,1219,655,564
"부산광역시",168663,100314,68349,86620,51598,35022,18264,10993,7271,13991,7905,6086,1158,845,313,10174,6212,3962,19787,11708,8079,1329,1128,201,7832,4147,3685,5625,3193,2432,570,372,198,1038,776,262,552,394,158,245,147,98,949,596,353,529,300,229,168084,99963,68121,85284,50848,34436,18244,10974,7270,13847,7810,6037,1213,878,335,10511,6436,4075,19812,11667,8145,1417,1198,219,7923,4166,3757,5946,3408,2538,517,336,181,993,739,254,602,432,170,241,145,96,995,627,368,539,299,240,168950,100326,68624,84013,50018,33995,18241,10969,7272,15077,8455,6622,1278,931,347,10812,6632,4180,19829,11688,8141,1515,1271,244,7990,4166,3824,6269,3581,2688,490,321,169,983,731,252,662,466,196,237,141,96,1013,647,366,541,309,232,171384,101725,69659,82660,49254,33406,18197,10959,7238,17632,9800,7832,1365,989,376,11155,6833,4322,20060,11798,8262,1632,1374,258,8078,4215,3863,6613,3830,2783,495,324,171,998,751,247,713,507,206,231,138,93,1020,648,372,535,305,230,173820,102889,70931,81254,48394,32860,18134,10863,7271,20492,11310,9182,1422,1033,389,11528,7032,4496,20108,11805,8303,1771,1483,288,8136,4237,3899,6936,4013,2923,478,313,165,992,746,246,752,535,217,235,142,93,1049,675,374,533,308,225,175378,103538,71840,79860,47476,32384,18057,10748,7309,22744,12523,10221,1468,1053,415,11853,7209,4644,19914,11669,8245,1926,1615,311,8201,4251,3950,7264,4251,3013,469,311,158,993,734,259,788,562,226,233,140,93,1073,686,387,535,310,225,176293,103880,72413,78515,46660,31855,18023,10666,7357,24195,13284,10911,1542,1097,445,12118,7361,4757,19731,11578,8153,2075,1722,353,8249,4251,3998,7677,4509,3168,467,312,155,994,726,268,838,589,249,230,136,94,1091,677,414,548,312,236,176451,103824,72627,77016,45742,31274,17874,10545,7329,25371,13859,11512,1575,1112,463,12384,7507,4877,19490,11459,8031,2254,1859,395,8242,4243,3999,8011,4710,3301,455,301,154,989,720,269,876,614,262,228,139,89,1134,698,436,552,316,236,176069,103627,72442,75516,44881,30635,17718,10470,7248,26286,14344,11942,1608,1131,477,12642,7644,4998,19073,11216,7857,2522,2056,466,8222,4233,3989,8210,4841,3369,437,290,147,977,712,265,917,635,282,228,140,88,1157,719,438,556,315,241,175467,103165,72302,73936,43949,29987,17583,10359,7224,27198,14871,12327,1593,1118,475,12862,7775,5087,18616,10866,7750,2862,2330,532,8190,4182,4008,8377,4931,3446,415,276,139,922,670,252,937,646,291,226,136,90,1198,741,457,552,315,237
"대구광역시",115983,68517,47466,57107,34217,22890,12239,7321,4918,11409,6062,5347,999,762,237,8704,5250,3454,13092,7648,5444,928,792,136,5865,3058,2807,3474,1994,1480,256,149,107,466,365,101,421,301,120,144,85,59,591,345,246,288,168,120,115694,68376,47318,56313,33769,22544,12198,7262,4936,11317,6033,5284,1002,758,244,8982,5412,3570,13058,7646,5412,971,824,147,5921,3087,2834,3756,2169,1587,251,148,103,449,350,99,472,335,137,136,80,56,586,340,246,282,163,119,117111,69090,48021,55583,33313,22270,12153,7235,4918,12829,6803,6026,1011,756,255,9246,5585,3661,13042,7649,5393,1040,880,160,6025,3124,2901,3939,2296,1643,242,143,99,437,342,95,531,376,155,140,80,60,597,340,257,296,168,128,119766,70289,49477,54677,32803,21874,12096,7195,4901,15724,8143,7581,1023,758,265,9497,5734,3763,13094,7654,5440,1101,923,178,6062,3124,2938,4155,2437,1718,230,135,95,450,345,105,593,423,170,142,83,59,620,363,257,302,169,133,123070,71928,51142,53691,32274,21417,12067,7155,4912,19390,9859,9531,1046,766,280,9829,5951,3878,12999,7637,5362,1156,973,183,6080,3145,2935,4406,2608,1798,237,145,92,442,339,103,627,444,183,141,81,60,640,377,263,319,174,145,125485,73112,52373,52682,31693,20989,12035,7163,4872,22369,11362,11007,1057,765,292,10127,6119,4008,12915,7574,5341,1188,999,189,6065,3121,2944,4625,2735,1890,240,150,90,421,330,91,649,452,197,137,79,58,639,386,253,336,184,152,126398,73475,52923,51680,31084,20596,11961,7097,4864,24007,12187,11820,1107,792,315,10292,6219,4073,12749,7469,5280,1248,1049,199,6023,3101,2922,4899,2899,2000,242,153,89,420,329,91,678,470,208,134,78,56,619,366,253,339,182,157,127282,73955,53327,50611,30463,20148,11874,7044,4830,25697,13034,12663,1148,826,322,10504,6352,4152,12572,7393,5179,1366,1147,219,5995,3084,2911,5052,3012,2040,239,154,85,413,320,93,707,490,217,143,85,58,625,364,261,336,187,149,127439,73959,53480,49603,29897,19706,11766,6962,4804,26866,13562,13304,1166,840,326,10679,6468,4211,12251,7214,5037,1548,1286,262,5923,3046,2877,5163,3077,2086,228,152,76,403,316,87,732,499,233,141,82,59,641,376,265,329,182,147,130521,75407,55114,49676,29874,19802,11854,6973,4881,28780,14456,14324,1154,825,329,11129,6743,4386,12228,7144,5084,1802,1496,306,6003,3056,2947,5363,3205,2158,229,156,73,387,304,83,758,510,248,147,86,61,684,401,283,327,178,149
"인천광역시",133855,81260,52595,72212,44975,27237,13626,8251,5375,13133,7294,5839,1088,812,276,8898,5467,3431,12661,7351,5310,1050,888,162,4357,2167,2190,4162,2351,1811,249,148,101,665,477,188,491,342,149,136,75,61,727,447,280,400,215,185,134191,81324,52867,71681,44581,27100,13700,8341,5359,12999,7166,5833,1164,862,302,9182,5605,3577,12794,7401,5393,1121,948,173,4484,2207,2277,4416,2517,1899,224,136,88,655,463,192,524,366,158,132,73,59,732,447,285,383,211,172,135623,81961,53662,71149,44141,27008,13768,8385,5383,13995,7693,6302,1193,889,304,9487,5781,3706,12824,7373,5451,1230,1045,185,4570,2221,2349,4692,2680,2012,223,139,84,637,454,183,576,409,167,137,77,60,769,471,298,373,203,170,138304,83337,54967,70758,43819,26939,13786,8357,5429,15833,8636,7197,1272,956,316,9786,5958,3828,13068,7555,5513,1331,1120,211,4679,2269,2410,5020,2877,2143,224,140,84,633,447,186,595,422,173,141,82,59,799,492,307,379,207,172,141771,84905,56866,70119,43293,26826,13756,8317,5439,18957,10231,8726,1319,981,338,10104,6122,3982,13224,7667,5557,1415,1188,227,4707,2255,2452,5297,3025,2272,237,149,88,651,467,184,624,418,206,141,80,61,825,498,327,395,214,181,144574,86344,58230,69378,42792,26586,13754,8286,5468,21436,11545,9891,1414,1036,378,10521,6385,4136,13245,7662,5583,1513,1264,249,4813,2297,2516,5574,3216,2358,243,155,88,643,459,184,649,439,210,142,79,63,846,512,334,403,217,186,146321,87305,59016,68536,42247,26289,13727,8262,5465,23237,12518,10719,1488,1082,406,10823,6565,4258,13190,7640,5550,1656,1398,258,4832,2304,2528,5868,3413,2455,258,158,100,627,447,180,691,467,224,146,80,66,840,514,326,402,210,192,148646,88447,60199,67942,41856,26086,13751,8254,5497,25128,13450,11678,1543,1113,430,11065,6698,4367,13252,7672,5580,1806,1502,304,4865,2323,2542,6239,3638,2601,262,161,101,632,449,183,728,492,236,144,81,63,881,546,335,408,212,196,150892,89586,61306,67398,41405,25993,13786,8275,5511,26860,14373,12487,1561,1126,435,11408,6930,4478,13273,7664,5609,2031,1678,353,4916,2342,2574,6514,3789,2725,254,156,98,611,439,172,759,509,250,144,84,60,974,612,362,403,204,199,152226,90258,61968,66609,40913,25696,13794,8248,5546,28060,14956,13104,1506,1069,437,11749,7134,4615,13281,7668,5613,2343,1927,416,4945,2342,2603,6740,3956,2784,264,162,102,596,432,164,791,518,273,147,83,64,1008,648,360,393,202,191
"광주광역시",68288,38263,30025,32939,18208,14731,7312,4334,2978,8245,4409,3836,505,354,151,5700,3311,2389,6847,3757,3090,620,507,113,2852,1374,1478,1863,1081,782,148,98,50,336,256,80,274,199,75,60,34,26,320,198,122,267,143,124,68079,38244,29835,32471,17955,14516,7276,4321,2955,8088,4326,3762,518,370,148,5940,3442,2498,6871,3824,3047,658,535,123,2921,1418,1503,1934,1131,803,129,82,47,310,231,79,296,218,78,63,37,26,341,213,128,263,141,122,68569,38538,30031,32074,17777,14297,7266,4303,2963,8537,4526,4011,535,385,150,6194,3594,2600,6835,3803,3032,697,572,125,2952,1428,1524,2051,1215,836,130,81,49,310,232,78,303,220,83,64,37,27,359,229,130,262,136,126,69233,38943,30290,31607,17548,14059,7290,4300,2990,9095,4824,4271,555,398,157,6418,3722,2696,6875,3832,3043,748,612,136,3006,1454,1552,2160,1290,870,131,82,49,306,226,80,341,244,97,63,36,27,370,233,137,268,142,126,69884,39368,30516,31130,17324,13806,7356,4347,3009,9704,5139,4565,564,410,154,6703,3897,2806,6846,3820,3026,773,635,138,3053,1480,1573,2253,1337,916,138,94,44,307,223,84,354,254,100,61,36,25,367,229,138,275,143,132,70177,39573,30604,30531,17079,13452,7338,4311,3027,10136,5320,4816,565,418,147,6931,4039,2892,6932,3900,3032,816,665,151,3091,1492,1599,2342,1387,955,138,98,40,289,206,83,363,258,105,65,38,27,373,226,147,267,136,131,70061,39638,30423,30011,16814,13197,7290,4276,3014,10183,5385,4798,566,411,155,7100,4139,2961,6903,3915,2988,896,736,160,3120,1515,1605,2477,1469,1008,142,100,42,296,210,86,376,270,106,63,36,27,366,222,144,272,140,132,69819,39549,30270,29460,16498,12962,7204,4228,2976,10220,5416,4804,571,408,163,7302,4264,3038,6799,3877,2922,980,806,174,3170,1530,1640,2571,1535,1036,140,100,40,293,207,86,386,275,111,63,37,26,386,228,158,274,140,134,69454,39466,29988,28935,16234,12701,7145,4207,2938,10171,5394,4777,605,426,179,7459,4377,3082,6679,3832,2847,1072,870,202,3183,1530,1653,2636,1591,1045,136,96,40,285,202,83,396,284,112,63,36,27,421,253,168,268,134,134,69314,39427,29887,28340,15924,12416,7097,4163,2934,10257,5433,4824,609,428,181,7645,4490,3155,6646,3836,2810,1191,963,228,3206,1532,1674,2740,1651,1089,129,92,37,273,189,84,417,295,122,63,37,26,433,260,173,268,134,134
"대전광역시",71198,41657,29541,35953,21208,14745,7199,4304,2895,7282,4027,3255,486,345,141,5442,3229,2213,7596,4224,3372,777,658,119,2884,1465,1419,2106,1216,890,150,89,61,358,271,87,262,189,73,80,57,23,373,237,136,250,138,112,70890,41511,29379,35416,20929,14487,7216,4323,2893,7159,3946,3213,513,371,142,5625,3326,2299,7561,4206,3355,820,694,126,2931,1481,1450,2184,1268,916,141,86,55,333,250,83,270,190,80,83,58,25,379,240,139,259,143,116,71425,41767,29658,34884,20638,14246,7203,4318,2885,7879,4305,3574,543,389,154,5841,3441,2400,7450,4121,3329,876,743,133,3003,1510,1493,2313,1354,959,141,83,58,316,236,80,271,188,83,78,56,22,385,245,140,242,140,102,72180,42178,30002,34269,20336,13933,7133,4271,2862,8733,4729,4004,555,398,157,6073,3557,2516,7523,4165,3358,933,789,144,3052,1539,1513,2444,1421,1023,143,83,60,319,243,76,283,200,83,80,55,25,395,251,144,245,141,104,72927,42491,30436,33776,19988,13788,7080,4236,2844,9507,5082,4425,571,409,162,6305,3704,2601,7532,4180,3352,984,830,154,3139,1569,1570,2569,1524,1045,132,84,48,296,222,74,304,215,89,77,52,25,393,252,141,262,144,118,73222,42632,30590,33193,19682,13511,7035,4195,2840,10077,5333,4744,568,395,173,6531,3846,2685,7438,4139,3299,1028,863,165,3179,1596,1583,2691,1603,1088,125,80,45,300,217,83,327,226,101,75,53,22,396,257,139,259,147,112,72853,42447,30406,32542,19327,13215,6996,4175,2821,10196,5360,4836,592,411,181,6650,3937,2713,7284,4064,3220,1082,904,178,3210,1600,1610,2836,1703,1133,119,72,47,293,217,76,344,236,108,72,50,22,386,251,135,251,140,111,72489,42298,30191,31992,18989,13003,6942,4149,2793,10142,5337,4805,603,421,182,6845,4071,2774,7193,4041,3152,1130,950,180,3221,1602,1619,2931,1753,1178,111,67,44,284,215,69,358,240,118,75,53,22,407,267,140,255,143,112,71915,42028,29887,31320,18646,12674,6904,4104,2800,10089,5330,4759,608,423,185,7009,4137,2872,7029,3970,3059,1188,995,193,3231,1601,1630,2999,1804,1195,118,76,42,274,207,67,379,253,126,81,58,23,430,283,147,256,141,115,71440,41823,29617,30718,18306,12412,6811,4022,2789,10060,5334,4726,618,429,189,7176,4244,2932,6887,3911,2976,1329,1109,220,3268,1611,1657,3024,1835,1189,118,71,47,272,206,66,387,264,123,82,59,23,427,279,148,263,143,120
