"행정구역별(1)",2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019
"행정구역별(1)",시설수 (개),입소자 (명),퇴소자 (명),연말현재 수용자 (명),시설수 (개),입소자 (명),퇴소자 (명),연말현재 수용자 (명),시설수 (개),입소자 (명),퇴소자 (명),연말현재 수용자 (명),시설수 (개),입소자 (명),퇴소자 (명),연말현재 수용자 (명),시설수 (개),입소자 (명),퇴소자 (명),연말현재 수용자 (명),시설수 (개),입소자 (명),퇴소자 (명),연말현재 수용자 (명),시설수 (개),입소자 (명),퇴소자 (명),연말현재 수용자 (명),시설수 (개),입소자 (명),퇴소자 (명),연말현재 수용자 (명),시설수 (개),입소자 (명),퇴소자 (명),연말현재 수용자 (명),시설수 (개),입소자 (명),퇴소자 (명),연말현재 수용자 (명)
"전국",280,6188,6655,17119,280,5870,6478,16523,281,5427,6034,15916,281,4401,5048,15239,278,4822,5431,14630,281,4331,4960,14001,281,4462,4774,13689,280,5543,6325,12789,279,3707,4365,12193,281,3776,4304,11665
"서울특별시",45,2995,3085,3153,47,2994,3075,3072,47,2342,2440,2990,47,1925,1822,3063,47,2205,2209,3059,49,1982,2039,3002,49,1807,1834,2975,49,1639,1891,2737,49,1291,1451,2577,49,1246,1482,2341
"부산광역시",22,325,394,1963,22,332,365,1930,22,335,416,1849,22,152,315,1684,21,140,333,1491,21,148,287,1352,21,104,214,1242,21,170,306,1106,20,182,295,992,21,171,232,931
"대구광역시",22,155,216,924,22,166,194,896,22,122,160,858,22,102,172,788,22,136,149,775,23,165,176,764,23,207,212,759,23,270,277,757,23,197,225,729,23,211,243,697
"인천광역시",11,193,209,707,11,216,230,693,11,209,228,674,10,107,140,642,10,179,220,601,10,172,203,570,10,210,209,571,10,186,223,531,10,131,146,516,10,201,185,532
"광주광역시",11,165,183,747,11,139,194,694,11,126,162,663,12,120,120,663,12,155,157,661,12,91,144,608,12,141,153,596,12,175,210,563,12,99,133,529,12,92,114,507
"대전광역시",13,351,360,653,14,377,424,618,14,403,421,600,14,379,385,594,14,309,329,574,14,302,352,524,14,239,236,527,14,363,375,512,14,282,303,493,14,272,296,469
"울산광역시",1,22,18,122,1,14,31,105,1,20,21,104,1,24,19,109,1,36,28,117,1,30,20,127,1,40,46,121,1,69,56,127,1,17,29,115,1,29,27,117
"세종특별자치시",-,-,-,-,-,-,-,-,1,4,9,47,1,3,3,47,1,5,10,42,1,9,9,42,1,6,11,37,1,5,18,27,1,6,6,27,1,9,11,25
"경기도",32,904,889,2030,30,603,747,1886,31,840,885,1836,30,678,839,1671,29,689,773,1587,29,619,701,1505,29,624,672,1457,28,1021,1178,1252,28,550,655,1212,28,605,641,1176
"강원도",10,83,75,525,10,47,110,462,10,45,83,424,10,61,80,405,10,69,114,360,10,121,127,354,10,138,125,367,10,163,203,334,10,104,125,312,11,104,98,318
"충청북도",12,133,164,740,13,151,160,731,13,119,156,694,13,136,187,647,13,179,202,624,13,143,147,620,13,120,163,577,13,226,231,549,13,114,138,528,13,140,150,518
"충청남도",15,81,136,794,15,98,107,785,14,94,117,702,14,91,121,673,14,115,165,623,14,122,109,636,14,129,130,635,14,166,145,634,14,98,111,619,14,85,114,590
"전라북도",16,154,193,909,16,155,189,875,16,193,213,855,16,193,242,806,16,159,180,785,16,166,215,736,16,247,229,754,16,345,398,696,16,251,264,684,16,200,241,643
"전라남도",24,307,384,1364,23,293,316,1339,23,294,340,1285,23,194,258,1221,23,178,205,1194,23,162,190,1166,23,206,238,1134,23,303,335,1100,23,174,224,1046,23,162,196,1012
"경상북도",16,103,103,946,15,112,117,941,15,97,143,895,15,94,124,867,15,109,135,841,15,77,128,790,15,87,133,744,15,151,148,714,15,78,85,707,15,105,104,708
"경상남도",25,142,168,1217,25,119,155,1181,25,133,180,1134,26,98,174,1056,25,108,154,1010,25,4,78,936,25,127,136,927,25,194,240,878,25,97,131,843,25,112,122,833
"제주특별자치도",5,75,78,325,5,54,64,315,5,51,60,306,5,44,47,303,5,51,68,286,5,18,35,269,5,30,33,266,5,97,91,272,5,36,44,264,5,32,48,248
