시군구별,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
전국,2104889,2246965,2429547,2517312,2519241,2511159,2501112,2494460,2490406,2511051,2545637,2585876,2618918,2633026,2644700,2648424,2641896
서울특별시,346275,368955,401638,414522,411570,407528,403435,398908,393245,391027,391753,392920,394843,394190,392123,390997,389795
부산광역시,148145,156966,168493,172765,171729,170743,169750,168663,168084,168950,171384,173820,175378,176293,176451,176069,175467
대구광역시,100082,106448,113509,117141,117183,116839,116567,115983,115694,117111,119766,123070,125485,126398,127282,127439,130520
인천광역시,108823,116697,126878,131815,132732,133467,133778,133855,134191,135623,138304,141771,144574,146321,148646,150892,152226
광주광역시,57280,61575,66191,68518,68675,68534,68372,68288,68079,68569,69233,69884,70177,70061,69819,69454,69314
대전광역시,59978,64348,68884,71164,71626,71647,71441,71198,70890,71425,72180,72927,73222,72853,72489,71915,71440
울산광역시,40758,44402,47210,49013,48926,48982,48950,49014,49326,49533,50205,50640,51014,51122,51330,51402,51383
세종특별자치시,-,-,-,-,-,7081,7202,7943,9079,9845,10623,11404,12046,12346,12630,12848,12944
경기도,407247,435698,477021,500704,505052,505519,506464,508330,512882,522437,533259,547386,559878,569726,578668,583782,586421
강원특별자치도,85594,91448,97604,101067,101283,100579,99660,98970,98324,98928,99959,100693,101484,101615,101714,101622,100520
충청북도,79826,85097,90958,94654,94855,94137,93563,93612,93536,94688,95844,97086,97688,97932,97839,97863,97117
충청남도,107895,116908,125556,130646,131108,124872,124561,124721,124801,126406,128503,131910,133724,134250,134749,134698,134004
전북특별자치도,116141,120481,130807,134235,134239,133054,132006,130932,129769,130345,131303,131746,132364,132207,132057,131652,130189
전라남도,125731,134898,144039,147918,146524,145788,144324,143128,141837,141578,142174,142213,141888,140942,139868,138410,136472
경상북도,143009,151898,164885,170396,170479,169699,168836,168650,168089,169643,172533,176550,180898,181366,182538,182373,178341
경상남도,151785,162753,175198,180880,181044,180285,179530,179276,179070,180665,183510,186016,187968,188749,189621,189874,188825
제주특별자치도,26320,28393,30676,31874,32216,32405,32673,32989,33510,34278,35104,35840,36287,36655,36876,37134,36918
