"행정구역별(읍면동)","연령별","시점","총인구(명)","총인구_남자(명)","총인구_여자(명)","총인구_성비","내국인(명)","내국인_남자(명)","내국인_여자(명)","내국인_성비",
"전국","합계","2015 년","51069375","25608502","25460873","100.6","49705663","24819839","24885824","99.7",
"전국","합계","2016 년","51269554","25696987","25572567","100.5","49855796","24881520","24974276","99.6",
"전국","합계","2017 년","51422507","25768055","25654452","100.4","49943260","24922392","25020868","99.6",
"전국","합계","2018 년","51629512","25877195","25752317","100.5","49977951","24931554","25046397","99.5",
"전국","합계","2019 년","51779203","25952070","25827133","100.5","50000285","24934662","25065623","99.5",
"전국","합계","2020 년","51829136","25915207","25913929","100","50133493","24972588","25160905","99.3",
"전국","합계","2021 년","51738071","25850044","25888027","99.9","50088104","24943537","25144567","99.2",
"전국","합계","2022 년","51692272","25835298","25856974","99.9","49939926","24866514","25073412","99.2",
"전국","합계","2023 년","51774521","25903852","25870669","100.1","49839371","24810723","25028648","99.1",
"전국","0~4세","2015 년","2258670","1159011","1099659","105.4","2235397","1147126","1088271","105.4",
"전국","0~4세","2016 년","2218378","1137155","1081223","105.2","2192603","1124012","1068591","105.2",
"전국","0~4세","2017 년","2102959","1077714","1025245","105.1","2075937","1064016","1011921","105.1",
"전국","0~4세","2018 년","2000217","1025394","974823","105.2","1967942","1008953","958989","105.2",
"전국","0~4세","2019 년","1881548","965211","916337","105.3","1841730","944850","896880","105.3",
"전국","0~4세","2020 년","1722081","883196","838885","105.3","1684917","864276","820641","105.3",
"전국","0~4세","2021 년","1570409","805852","764557","105.4","1536204","788406","747798","105.4",
"전국","0~4세","2022 년","1459301","748056","711245","105.2","1426032","731063","694969","105.2",
"전국","0~4세","2023 년","1361737","697702","664035","105.1","1331363","682180","649183","105.1",
"전국","5~9세","2015 년","2267851","1169770","1098081","106.5","2252950","1162087","1090863","106.5",
"전국","5~9세","2016 년","2304689","1187031","1117658","106.2","2287123","1177879","1109244","106.2",
"전국","5~9세","2017 년","2303030","1185280","1117750","106","2287878","1177479","1110399","106",
"전국","5~9세","2018 년","2279824","1172145","1107679","105.8","2261032","1162616","1098416","105.8",
"전국","5~9세","2019 년","2276617","1168966","1107651","105.5","2251185","1156094","1095091","105.6",
"전국","5~9세","2020 년","2264595","1161247","1103348","105.2","2238916","1148248","1090668","105.3",
"전국","5~9세","2021 년","2212372","1133426","1078946","105","2180368","1117345","1063023","105.1",
"전국","5~9세","2022 년","2095594","1073564","1022030","105","2060530","1055963","1004567","105.1",
"전국","5~9세","2023 년","1980026","1014945","965081","105.2","1949720","999638","950082","105.2",
"전국","10~14세","2015 년","2427792","1262770","1165022","108.4","2418360","1257902","1160458","108.4",
"전국","10~14세","2016 년","2299146","1193915","1105231","108","2288612","1188475","1100137","108",
"전국","10~14세","2017 년","2276763","1178964","1097799","107.4","2267947","1174461","1093486","107.4",
"전국","10~14세","2018 년","2262767","1169008","1093759","106.9","2250907","1163024","1087883","106.9",
"전국","10~14세","2019 년","2234015","1152447","1081568","106.6","2219036","1144862","1074174","106.6",
"전국","10~14세","2020 년","2267481","1168937","1098544","106.4","2252113","1161098","1091015","106.4",
"전국","10~14세","2021 년","2304690","1186319","1118371","106.1","2286676","1177079","1109597","106.1",
"전국","10~14세","2022 년","2305033","1185794","1119239","105.9","2283668","1174962","1108706","106",
"전국","10~14세","2023 년","2277663","1170779","1106884","105.8","2255118","1159359","1095759","105.8",
"전국","15~19세","2015 년","3194079","1668683","1525396","109.4","3170545","1657722","1512823","109.6",
"전국","15~19세","2016 년","3084039","1606802","1477237","108.8","3056728","1594229","1462499","109",
"전국","15~19세","2017 년","2922140","1523741","1398399","109","2891577","1509599","1381978","109.2",
"전국","15~19세","2018 년","2772966","1445280","1327686","108.9","2735274","1427114","1308160","109.1",
"전국","15~19세","2019 년","2637341","1371661","1265680","108.4","2595613","1352018","1243595","108.7",
"전국","15~19세","2020 년","2449561","1271404","1178157","107.9","2422002","1258885","1163117","108.2",
"전국","15~19세","2021 년","2313299","1198911","1114388","107.6","2288333","1187703","1100630","107.9",
"전국","15~19세","2022 년","2303446","1190769","1112677","107","2266980","1173549","1093431","107.3",
"전국","15~19세","2023 년","2298339","1186270","1112069","106.7","2252391","1163494","1088897","106.9",
"전국","20~24세","2015 년","3531108","1887776","1643332","114.9","3385936","1808857","1577079","114.7",
"전국","20~24세","2016 년","3552780","1898134","1654646","114.7","3400634","1816165","1584469","114.6",
"전국","20~24세","2017 년","3517690","1872652","1645038","113.8","3355986","1786645","1569341","113.8",
"전국","20~24세","2018 년","3484744","1851798","1632946","113.4","3290233","1744884","1545349","112.9",
"전국","20~24세","2019 년","3413656","1806316","1607340","112.4","3203741","1690943","1512798","111.8",
"전국","20~24세","2020 년","3364804","1762135","1602669","110","3193316","1670636","1522680","109.7",
"전국","20~24세","2021 년","3223654","1681183","1542471","109","3066118","1602890","1463228","109.5",
"전국","20~24세","2022 년","3054220","1597071","1457149","109.6","2879013","1509973","1369040","110.3",
"전국","20~24세","2023 년","2915658","1529757","1385901","110.4","2715480","1423937","1291543","110.3",
"전국","25~29세","2015 년","3265288","1728888","1536400","112.5","3027896","1581887","1446009","109.4",
"전국","25~29세","2016 년","3308184","1756218","1551966","113.2","3068970","1607473","1461497","110",
"전국","25~29세","2017 년","3407757","1815686","1592071","114","3164039","1665093","1498946","111.1",
"전국","25~29세","2018 년","3520222","1884327","1635895","115.2","3259284","1721877","1537407","112",
"전국","25~29세","2019 년","3612505","1938641","1673864","115.8","3343423","1771185","1572238","112.7",
"전국","25~29세","2020 년","3666212","1959723","1706489","114.8","3423231","1813896","1609335","112.7",
"전국","25~29세","2021 년","3663127","1954718","1708409","114.4","3439492","1822691","1616801","112.7",
"전국","25~29세","2022 년","3622860","1930682","1692178","114.1","3384426","1787742","1596684","112",
"전국","25~29세","2023 년","3579935","1907333","1672602","114","3310331","1741244","1569087","111",
"전국","30~34세","2015 년","3811610","1986796","1824814","108.9","3611034","1854905","1756129","105.6",
"전국","30~34세","2016 년","3629317","1894497","1734820","109.2","3415599","1756053","1659546","105.8",
"전국","30~34세","2017 년","3447773","1804860","1642913","109.9","3216057","1657296","1558761","106.3",
"전국","30~34세","2018 년","3339755","1755850","1583905","110.9","3080835","1592897","1487938","107.1",
"전국","30~34세","2019 년","3304679","1745076","1559603","111.9","3029678","1573520","1456158","108.1",
"전국","30~34세","2020 년","3301331","1742483","1558848","111.8","3032832","1579900","1452932","108.7",
"전국","30~34세","2021 년","3332272","1759768","1572504","111.9","3080905","1609294","1471611","109.4",
"전국","30~34세","2022 년","3435308","1825651","1609657","113.4","3179338","1668917","1510421","110.5",
"전국","30~34세","2023 년","3557870","1905868","1652002","115.4","3273995","1725797","1548198","111.5",
"전국","35~39세","2015 년","3926862","2022466","1904396","106.2","3783589","1927388","1856201","103.8",
"전국","35~39세","2016 년","4002467","2062739","1939728","106.3","3852007","1963865","1888142","104",
"전국","35~39세","2017 년","4070681","2100211","1970470","106.6","3904372","1992903","1911469","104.3",
"전국","35~39세","2018 년","4106922","2120795","1986127","106.8","3915428","1999417","1916011","104.4",
"전국","35~39세","2019 년","3999744","2070152","1929592","107.3","3791256","1939621","1851635","104.8",
"전국","35~39세","2020 년","3805470","1970249","1835221","107.4","3594213","1841713","1752500","105.1",
"전국","35~39세","2021 년","3622347","1877724","1744623","107.6","3408007","1748821","1659186","105.4",
"전국","35~39세","2022 년","3437364","1788398","1648966","108.5","3210198","1650898","1559300","105.9",
"전국","35~39세","2023 년","3333907","1745532","1588375","109.9","3076302","1587340","1488962","106.6",
"전국","40~44세","2015 년","4338827","2218442","2120385","104.6","4215921","2142101","2073820","103.3",
"전국","40~44세","2016 년","4152420","2124144","2028276","104.7","4031799","2049032","1982767","103.3",
"전국","40~44세","2017 년","4037048","2060634","1976414","104.3","3916382","1986538","1929844","102.9",
"전국","40~44세","2018 년","3910064","2001842","1908222","104.9","3775918","1920059","1855859","103.5",
"전국","40~44세","2019 년","3855403","1974200","1881203","104.9","3707290","1884344","1822946","103.4",
"전국","40~44세","2020 년","3906665","1997630","1909035","104.6","3758298","1909518","1848780","103.3",
"전국","40~44세","2021 년","3981710","2038116","1943594","104.9","3831323","1949291","1882032","103.6",
"전국","40~44세","2022 년","4047796","2075221","1972575","105.2","3883866","1978627","1905239","103.9",
"전국","40~44세","2023 년","4083172","2097082","1986090","105.6","3897378","1987030","1910348","104",
"전국","45~49세","2015 년","4388157","2217013","2171144","102.1","4266941","2151070","2115871","101.7",
"전국","45~49세","2016 년","4492909","2264120","2228789","101.6","4369603","2196126","2173477","101",
"전국","45~49세","2017 년","4532957","2295736","2237221","102.6","4404427","2224798","2179629","102.1",
"전국","45~49세","2018 년","4498819","2282577","2216242","103","4362254","2206233","2156021","102.3",
"전국","45~49세","2019 년","4449226","2263200","2186026","103.5","4307141","2182319","2124822","102.7",
"전국","45~49세","2020 년","4325697","2196042","2129655","103.1","4195327","2123611","2071716","102.5",
"전국","45~49세","2021 년","4134223","2100431","2033792","103.3","4010015","2030757","1979258","102.6",
"전국","45~49세","2022 년","4018684","2037952","1980732","102.9","3895813","1969118","1926695","102.2",
"전국","45~49세","2023 년","3894494","1981666","1912828","103.6","3760451","1906606","1853845","102.8",
"전국","50~54세","2015 년","4263447","2153186","2110261","102","4145976","2094318","2051658","102.1",
"전국","50~54세","2016 년","4153936","2108614","2045322","103.1","4030564","2045888","1984676","103.1",
"전국","50~54세","2017 년","4122551","2082358","2040193","102.1","4000764","2020278","1980486","102",
"전국","50~54세","2018 년","4196221","2109486","2086735","101.1","4071272","2044989","2026283","100.9",
"전국","50~54세","2019 년","4322368","2170535","2151833","100.9","4191706","2101302","2090404","100.5",
"전국","50~54세","2020 년","4372054","2195060","2176994","100.8","4245683","2130025","2115658","100.7",
"전국","50~54세","2021 년","4477633","2243979","2233654","100.5","4350920","2177577","2173343","100.2",
"전국","50~54세","2022 년","4513276","2273280","2239996","101.5","4380778","2202871","2177907","101.1",
"전국","50~54세","2023 년","4482461","2262196","2220265","101.9","4342725","2187336","2155389","101.5",
"전국","55~59세","2015 년","3956849","1969232","1987617","99.1","3863095","1922796","1940299","99.1",
"전국","55~59세","2016 년","4165508","2069976","2095532","98.8","4076050","2025701","2050349","98.8",
"전국","55~59세","2017 년","4258232","2120781","2137451","99.2","4167356","2076215","2091141","99.3",
"전국","55~59세","2018 년","4319504","2154401","2165103","99.5","4212132","2101462","2110670","99.6",
"전국","55~59세","2019 년","4285702","2143941","2141761","100.1","4167929","2084851","2083078","100.1",
"전국","55~59세","2020 년","4210645","2109380","2101265","100.4","4091920","2051221","2040699","100.5",
"전국","55~59세","2021 년","4097916","2064943","2032973","101.6","3976114","2004426","1971688","101.7",
"전국","55~59세","2022 년","4076219","2044571","2031648","100.6","3955115","1984188","1970927","100.7",
"전국","55~59세","2023 년","4153074","2073954","2079120","99.8","4030747","2012265","2018482","99.7",
"전국","60~64세","2015 년","2821457","1379694","1441763","95.7","2758941","1348273","1410668","95.6",
"전국","60~64세","2016 년","3079213","1508112","1571101","96","3010386","1473557","1536829","95.9",
"전국","60~64세","2017 년","3251699","1596954","1654745","96.5","3175172","1558672","1616500","96.4",
"전국","60~64세","2018 년","3482338","1715950","1766388","97.1","3401325","1675784","1725541","97.1",
"전국","60~64세","2019 년","3689408","1816973","1872435","97","3604994","1775178","1829816","97",
"전국","60~64세","2020 년","3885297","1912792","1972505","97","3795217","1869359","1925858","97.1",
"전국","60~64세","2021 년","4097858","2016321","2081537","96.9","4013702","1975945","2037757","97",
"전국","60~64세","2022 년","4176683","2058253","2118430","97.2","4088069","2015906","2072163","97.3",
"전국","60~64세","2023 년","4247204","2098812","2148392","97.7","4146695","2050544","2096151","97.8",
"전국","65~69세","2015 년","2144023","1028129","1115894","92.1","2117875","1015463","1102412","92.1",
"전국","65~69세","2016 년","2208535","1058989","1149546","92.1","2179524","1044970","1134554","92.1",
"전국","65~69세","2017 년","2315195","1113374","1201821","92.6","2282138","1097501","1184637","92.6",
"전국","65~69세","2018 년","2372155","1139381","1232774","92.4","2335461","1121855","1213606","92.4",
"전국","65~69세","2019 년","2492232","1199690","1292542","92.8","2450215","1179719","1270496","92.9",
"전국","65~69세","2020 년","2734187","1314575","1419612","92.6","2685773","1291921","1393852","92.7",
"전국","65~69세","2021 년","2976607","1433783","1542824","92.9","2925766","1409896","1515870","93",
"전국","65~69세","2022 년","3144288","1519093","1625195","93.5","3086282","1491675","1594607","93.5",
"전국","65~69세","2023 년","3367282","1632277","1735005","94.1","3304593","1602931","1701662","94.2",
"전국","70~74세","2015 년","1770741","793855","976886","81.3","1760932","789607","971325","81.3",
"전국","70~74세","2016 년","1746223","790608","955615","82.7","1736294","786401","949893","82.8",
"전국","70~74세","2017 년","1756166","802127","954039","84.1","1745402","797640","947762","84.2",
"전국","70~74세","2018 년","1829392","844189","985203","85.7","1817370","839242","978128","85.8",
"전국","70~74세","2019 년","1926601","896925","1029676","87.1","1911438","890402","1021036","87.2",
"전국","70~74세","2020 년","2027679","946539","1081140","87.6","2009542","938910","1070632","87.7",
"전국","70~74세","2021 년","2089644","975415","1114229","87.5","2069571","966856","1102715","87.7",
"전국","70~74세","2022 년","2193238","1026934","1166304","88.1","2169182","1016612","1152570","88.2",
"전국","70~74세","2023 년","2252925","1054423","1198502","88","2224925","1042514","1182411","88.2",
"전국","75~79세","2015 년","1362669","553178","809491","68.3","1356014","550684","805330","68.4",
"전국","75~79세","2016 년","1425031","585602","839429","69.8","1418480","583304","835176","69.8",
"전국","75~79세","2017 년","1543849","643508","900341","71.5","1537367","641422","895945","71.6",
"전국","75~79세","2018 년","1585750","666909","918841","72.6","1579289","664879","914410","72.7",
"전국","75~79세","2019 년","1595168","676049","919119","73.6","1588073","673589","914484","73.7",
"전국","75~79세","2020 년","1600867","684291","916576","74.7","1593192","681766","911426","74.8",
"전국","75~79세","2021 년","1584604","685723","898881","76.3","1576830","683137","893693","76.4",
"전국","75~79세","2022 년","1598274","699921","898353","77.9","1588867","696679","892188","78.1",
"전국","75~79세","2023 년","1670946","740365","930581","79.6","1659823","736481","923342","79.8",
"전국","80~84세","2015 년","814222","276627","537595","51.5","810891","275462","535429","51.4",
"전국","80~84세","2016 년","884261","307499","576762","53.3","880699","306320","574379","53.3",
"전국","80~84세","2017 년","943418","335345","608073","55.1","939787","334274","605513","55.2",
"전국","80~84세","2018 년","1005673","363891","641782","56.7","1001715","362776","638939","56.8",
"전국","80~84세","2019 년","1075010","396231","678779","58.4","1070623","394900","675723","58.4",
"전국","80~84세","2020 년","1120781","419037","701744","59.7","1115804","417754","698050","59.8",
"전국","80~84세","2021 년","1178836","447622","731214","61.2","1173715","446293","727422","61.4",
"전국","80~84세","2022 년","1280639","494021","786618","62.8","1274965","492514","782451","62.9",
"전국","80~84세","2023 년","1319730","514355","805375","63.9","1313292","512561","800731","64",
"전국","85~89세","2015 년","372987","98855","274132","36.1","371527","98367","273160","36",
"전국","85~89세","2016 년","400337","107281","293056","36.6","398827","106818","292009","36.6",
"전국","85~89세","2017 년","434947","119540","315407","37.9","433550","119129","314421","37.9",
"전국","85~89세","2018 년","467681","132006","335675","39.3","466247","131650","334597","39.3",
"전국","85~89세","2019 년","511197","148298","362899","40.9","509347","147716","361631","40.8",
"전국","85~89세","2020 년","563930","168643","395287","42.7","562068","168181","393887","42.7",
"전국","85~89세","2021 년","617681","189457","428224","44.2","615617","188955","426662","44.3",
"전국","85~89세","2022 년","654226","204915","449311","45.6","651839","204318","447521","45.7",
"전국","85~89세","2023 년","699992","223396","476596","46.9","696978","222595","474383","46.9",
"전국","90~94세","2015 년","124723","28759","95964","30","124111","28565","95546","29.9",
"전국","90~94세","2016 년","130627","29532","101095","29.2","130010","29346","100664","29.2",
"전국","90~94세","2017 년","141555","31590","109965","28.7","141169","31488","109681","28.7",
"전국","90~94세","2018 년","153410","33938","119472","28.4","153039","33849","119190","28.4",
"전국","90~94세","2019 년","173427","38990","134437","29","172793","38783","134010","28.9",
"전국","90~94세","2020 년","192663","42951","149712","28.7","192149","42825","149324","28.7",
"전국","90~94세","2021 년","208758","47148","161610","29.2","208193","47024","161169","29.2",
"전국","90~94세","2022 년","222922","51674","171248","30.2","222263","51519","170744","30.2",
"전국","90~94세","2023 년","239881","56865","183016","31.1","239060","56662","182398","31.1",
"전국","95~99세","2015 년","24796","4923","19873","24.8","24573","4831","19742","24.5",
"전국","95~99세","2016 년","28007","5550","22457","24.7","27798","5461","22337","24.4",
"전국","95~99세","2017 년","32154","6435","25719","25","32045","6395","25650","24.9",
"전국","95~99세","2018 년","36839","7427","29412","25.3","36762","7402","29360","25.2",
"전국","95~99세","2019 년","38482","7760","30722","25.3","38255","7683","30572","25.1",
"전국","95~99세","2020 년","41512","8024","33488","24","41399","7995","33404","23.9",
"전국","95~99세","2021 년","43868","8149","35719","22.8","43717","8116","35601","22.8",
"전국","95~99세","2022 년","45930","8357","37573","22.2","45780","8320","37460","22.2",
"전국","95~99세","2023 년","50591","8977","41614","21.6","50438","8938","41500","21.5",
"전국","100세이상","2015 년","3217","449","2768","16.2","3159","428","2731","15.7",
"전국","100세이상","2016 년","3547","469","3078","15.2","3486","445","3041","14.6",
"전국","100세이상","2017 년","3943","565","3378","16.7","3908","550","3358","16.4",
"전국","100세이상","2018 년","4249","601","3648","16.5","4232","592","3640","16.3",
"전국","100세이상","2019 년","4874","808","4066","19.9","4819","783","4036","19.4",
"전국","100세이상","2020 년","5624","869","4755","18.3","5581","850","4731","18",
"전국","100세이상","2021 년","6563","1056","5507","19.2","6518","1035","5483","18.9",
"전국","100세이상","2022 년","6971","1121","5850","19.2","6922","1100","5822","18.9",
"전국","100세이상","2023 년","7634","1298","6336","20.5","7566","1271","6295","20.2",
"전국","15세미만","2015 년","6954313","3591551","3362762","106.8","6906707","3567115","3339592","106.8",
"전국","15세미만","2016 년","6822213","3518101","3304112","106.5","6768338","3490366","3277972","106.5",
"전국","15세미만","2017 년","6682752","3441958","3240794","106.2","6631762","3415956","3215806","106.2",
"전국","15세미만","2018 년","6542808","3366547","3176261","106","6479881","3334593","3145288","106",
"전국","15세미만","2019 년","6392180","3286624","3105556","105.8","6311951","3245806","3066145","105.9",
"전국","15세미만","2020 년","6254157","3213380","3040777","105.7","6175946","3173622","3002324","105.7",
"전국","15세미만","2021 년","6087471","3125597","2961874","105.5","6003248","3082830","2920418","105.6",
"전국","15세미만","2022 년","5859928","3007414","2852514","105.4","5770230","2961988","2808242","105.5",
"전국","15세미만","2023 년","5619426","2883426","2736000","105.4","5536201","2841177","2695024","105.4",
"전국","15~64세","2015 년","37497684","19232176","18265508","105.3","36229874","18489317","17740557","104.2",
"전국","15~64세","2016 년","37620773","19293356","18327417","105.3","36312340","18528089","17784251","104.2",
"전국","15~64세","2017 년","37568528","19273613","18294915","105.3","36196132","18478037","17718095","104.3",
"전국","15~64세","2018 년","37631555","19322306","18309249","105.5","36103955","18434716","17669239","104.3",
"전국","15~64세","2019 년","37570032","19300695","18269337","105.6","35942771","18355281","17587490","104.4",
"전국","15~64세","2020 년","37287736","19116898","18170838","105.2","35752039","18248764","17503275","104.3",
"전국","15~64세","2021 년","36944039","18936094","18007945","105.2","35464929","18109395","17355534","104.3",
"전국","15~64세","2022 년","36685856","18821848","17864008","105.4","35123596","17941789","17181807","104.4",
"전국","15~64세","2023 년","36546114","18788470","17757644","105.8","34806495","17785593","17020902","104.5",
"전국","65세이상","2015 년","6617378","2784775","3832603","72.7","6569082","2763407","3805675","72.6",
"전국","65세이상","2016 년","6826568","2885530","3941038","73.2","6775118","2863065","3912053","73.2",
